СМИРЕННАГО ИНОКА ФОМЫ СЛОВО ПОХВАЛНОЕ[1] О БЛАГОВѢРНОМ ВЕЛИКОМЪ КНЯЗИ БОРИСѢ АЛЕКСАНДРОВИЧЕ	СМИРЕННОГО ИНОКА ФОМЫ СЛОВО ПОХВАЛЬНОЕ О БЛАГОВЕРНОМ ВЕЛИКОМ КНЯЗЕ БОРИСЕ АЛЕКСАНДРОВИЧЕ
Но той же зимы государь нашь князь великий Борисъ Александрович восхотѣ поискати изгыбшей драгмы,[132] и собрать расточенныя, и совокупити во едино стадо, и да будет един пастырь, но еже восхотѣ поити ко граду Ржевѣ. И бысть тако. И посла преже себе своихъ воевод, князя Дмитрея Феодоровича[133] да Григориа Никитича.[134] Гражане же ржевичени како же не восхотѣша отворити, но и еще же, показующе мужество свое, выхожааху изь града и биахуся с воеводами великого князя Бориса. И воеводы же великого князя Бориса овии биаху, а иныхъ руками имааху и присылаху к великому князю Борису Александровичю, а веля ему самому государю подступати под град, понеже князь великий Борис не восхотѣ сам поити под той мал град. Но градок той аще ли мал, но твердъ, и велми приправы градскые на нем велми много.	В ту же зиму задумал государь наш, великий князь Борис Александрович, вернуть потерянную драхму, собрать тех, кто был рассеян, и соединить их в единое стадо, чтобы был один пастырь, иными словами, пожелал пойти к городу Ржеву. И так и сталось. И послал впереди себя своих воевод, князя Дмитрия Федоровича и Григория Никитича. Жители же Ржева не только не захотели отворить (городских ворот), но даже стали, показывая свою смелость, выходить из города и биться с воеводами великого князя Бориса. И воеводы великого князя Бориса одних из них побивали, а других просто ловили и отсылали к великому князю Борису Александровичу, прося самого его, государя, подступить к городу, так как великий князь Борис сам не пожелал пойти к тому малому городу. Но городок тот хотя и мал, но крепок, и множество укрепительных сооружений у него.
Князь же великий Борис Александровичь и восхотѣ на свою утѣху поехати ниже есть лѣтнее обиходище якоже и преже и во свой град, еже зовомый Опокы.[135] Но предстояшу же ему близ того града прежереченаго Ржевы, но якоже бысть зрѣимо, и посла ко ржевичем своего болярина Констянтина Констянтиновича, а веля им град отворити, а рекый: «Прадѣдина есть наша, а коими се было дѣлы досягли были наши братиа, великие князи московские. А нынѣча милостию Божиею нашего ся намъ отступают. Но вы на кого держите град сий?» Они же смердове, акы аспиди глухии, затыкающе ушеса свои и не хотяаше слушати речей государевых, но наипаче град постраиваше и себя укрѣпляаше. И начаше посады зажигати сами.	Великий же князь Борис Александрович решил поехать себе на потеху в обычное, как и прежде бывало, ежегодное свое путешествие в свой город, называемый Опоки. И проходя неподалеку от того города Ржева, о котором прежде шла речь, так, что виден был город, послал он своего боярина Константина Константиновича ко ржевичам, повелевая им отворить город, сказав (при этом): «Прадедина это наша, и каким-то образом завладели ею наши братья, великие князья московские. Нынче же милостью Божией наше нам отдают. А вы для кого удерживаете город сей?» Эти же смерды, как глухие аспиды, затыкали уши свои, не желая слышать речей государевых, и все больше укрепляли город свой и самих себя. И стали сами жечь (свои) посады.
И слышав же сие князь великий Борис Александрович и посла своихъ воевод, Данила Григориевича да Карпа Феодоровича,[136] и иных многых воевод, а веля имъ гасити посады, а гражаномъ претити. И они же пришед, сташа под градомъ. И к тому же не смѣяше никто из града исходити.	И узнав об этом, великий князь Борис Александрович послал своих воевод, Данилу Григорьевича, и Карпа Феодоровича, и многих других воевод, веля им тушить пожары в посадах и останавливать горожан. И они, подойдя, стали под городскими стенами. И больше уже никто не смел выйти из города.
А наутрие же князь великий Борис въсхотѣ посмотрити града. И поехал в малѣ под град, а мня ся утаити, да бы не познан был гражаны того града, и поехааше в тайнѣ. И егда же таяшеся, и тогда наипаче являемъ бывааше, и яко денница пред солнцем или яко заря пред свѣтомъ. И мнози бо человѣци видѣвъ государя, но овии в борзе совгоняхут противу его, а инии с коней метахуся. Но и елма ихъ отривааше, но тои болма ихъ пребывааше. Князь же великий Борис Александрович но яко солнце свѣтящеся посреди всѣхъ человѣкъ. Но понеже бо и писано есть: «Не может град укрытися, верху горы стоя».[137] И тако же и сей славный государь, великий князь Борисъ Александрович, не может утаитися в такой велицей силѣ. Но якоже луна в нощи, тако и онъ свѣтяся посреди всѣхъ человѣкъ.	А поутру пожелал великий князь Борис посмотреть на город. И поехал к городской стене с немногими людьми, и, не желая быть узнанным жителями того города, поехал тайно. И, скрываясь, обнаружил себя еще сильнее, как луч перед солнцем, как заря пред рассветом. Ибо, увидав государя, многие из людей сбежались к нему, а некоторые из них бросались ниц с коней. И сколько ни отгоняли их, еще больше их сбегалось. Великий же князь Борис Александрович, как солнце, сиял посреди других людей. Ведь написано: «Не может город укрыться, наверху горы стоя». Так же и сей прославленный государь, великий князь Борис Александрович, не может утаиться при таком великом могуществе. Как луна в ночи, так же и он светится посреди людей.
И озрѣвъ той град прежереченый Опокы, и на утрии же день в понеделничной выступи князь великий Борисъ Александрович сам и с нимъ князей и боляръ множество, и поиде ко граду Ржеве. Но тольми бо видѣти дивно, якоже всѣмъ человѣкомъ дивитися премудрости и храбрости славнаго того государя, но како уставляше полкы, но якоже бысть кому от ногот учився такой хитрости, но не мощи навыкнути, но тако великий князь Борис розряди полкы; и видѣти же гражаном, но якоже бысть нѣкая великая рѣка лиющися и пакы море колыблющеся и так блещахуся, яко нѣкии свѣтилници горяще идалеча зрѣти. И бысть гроза силна, како исполчишася ко граду. Но и бысть дивъству достойно зрѣние, но таци бо суть храбрии у великого князя Бориса Александровича, овѣх двѣ или три за единою дскою вратною под град приидоша, а иныи за щиты нолны до самы стены прискакааху. Но съ града же биаху овии пушками, а инии пращами, а друзии камение метааху, а овии стрѣлами, якоже дождем пущаху. Но милостию Божиею но ничимъже невреженѣ вои великаго князя Бориса Александровича.	И, осмотрев тот упомянутый прежде город Опоки, в понедельник утром выступил сам великий князь Борис Александрович со множеством князей и бояр на город Ржев. И столь было чудно зрелище, что все люди дивились премудрости и храбрости славного того государя: так снарядил он полки, что и тот, кто с младых ногтей был обучен таковому искусству, не смог бы устроить так, как снарядил полки великий князь Борис; (они) представлялись горожанам как некая великая река текущая или даже как море волнующееся и так блистали, что издалека казалось, будто видны зажженные светильники. И был грозен приход их, как подступили они к городу. И дивно было видеть, какие храбрые воины у великого князя Бориса Александровича, — кто вдвоем или втроем, под прикрытием одной только доски от ворот, подступали к городской стене, а иные с одними только щитами до самой стены добирались. А ведь с городской стены били, — одни из пушек, другие из пращей, кто метал каменья, а кто пускал стрелы как дождь. Но милостью Божией ничто не повредило воинам великого князя Бориса Александровича.
И на утрии же день суботный повелѣ князь великий Борисъ пушками бити град, и тол бо грозно, но якоже от великого того грому многым человѣком падати. А инии начаша туры[138] рядити и повезоша под град, а инии воду отъаша у града.	И на следующий день в субботу приказал великий князь Борис бить по городу из пушек. И так было то страшно, что многие люди падали от (одного) того великого грохота. И стали одни снаряжать туры и подводить их к городской стене, а другие лишили город воды.
И бысть туга во градѣ немала; но и толь бо дивно видѣти, но якоже и град содѣла турами противу града и пушкы поставиша; но и ржевичи же видѣвъше храбрость и умѣние великого князя Бориса Александровича и дерзость сыновъ тфѣрскых, и убояшася. И начаша присылати и бити челом славному государю, великому князю Борису Александровичю, но да бы сотворил милость над градом; и князь же великий Борисъ обѣщася помиловати их. И въи же великого князя Бориса глаголюще: «Но повели намъ приступати ко граду и да предадим мы град огню!». И князь же великий Борис не повели прошению их быти, но хотяаше милость сотворити на градѣ. Но вои же великого князя Бориса устраивахуся ко граду. И гражане же беспрестани присылааху и биючи челомъ велкому князю Борису Александровичю, и да бы их помиловал.	И была в городе скорбь немалая, и страшно было им видеть, как сделали новую стену из туров напротив городской стены и поставили пушки; и ржевичи испугались, увидев храбрость и умение великого князя Бориса Александровича и отвагу тверичей. И стали присылать челобитчиков к славному государю, великому князю Борису Александровичу, прося смилостивиться над городом; и князь великий Борис обещал помиловать их. А воины великого князя Бориса взывали: «Прикажи нам приступить к городу, чтобы предать его огню!» Но великий князь Борис не повелел быть по их просьбе, желая оказать городу милость. Воины же великого князя Бориса подступали к городской стене. А горожане беспрестанно слали челобитчиков к великому князю Борису, прося помиловать их.
И князь же великий Борис пожаловал ихъ и сотвори над ними милость. И граждане же с радостию отвориша град в той же день, в который день приступил князь великий Борнс Александрович под град, и в той день и отвориша.	И великий князь Борис пожаловал их, сотворил им милость. И горожане с радостью отворили город; в который день подступил великий князь Борис Александрович к городу, в тот день и открыли.
И князь же великий Борис не восхотѣ вьехати во град того дни. Но поехал во свой град прежереченый Опокы. И егда же въихалъ въ град Опокы, и тогда того же дни прииде к нему посолъ от его брата, от велкого князя Казимира королевича, именем Давъкши, и принесе ему дары велиции от злата, и от камок драгых, и от сосудов златых, и от оружиа, и от коней борзых и иноходых. И егда же подаваше великому князю Борису злато или камкы, и онъ повелѣвая своим приимати, а самъ ни о чемъже о томъ не брегоша. Но егда же подаде ему меч, а молвячи от него ему брата, но веля ему тѣмъ мечемъ непокорящаяся ему казнити, а покорящаяся ему честь им въздаяти, и тогда князь великий Борис своима рукама приимъ меч той. И ржевичи же видѣвъ той промыслъ и храбрость славнаго государя, но велми устрашишася, и ркущи в собѣ: «Но храбръ съй князь. Но ни о чемъже не обрежет, а меч любит».[139]	Но великий князь Борис не пожелал в этот день войти в город. Он поехал в свой упоминавшийся уже прежде город Опоки. И когда въехал он в город Опоки, пришел к нему в тот же день посол от его брата, великого князя королевича Казимира, по имени Давкши, и принес ему великие дары, — золотом, и дорогими камчатными тканями, и золотыми сосудами, и оружием, и борзыми конями и иноходцами. И когда подносили великому князю Борису золото или камчатные ткани, то он, веля все это своим принимать, сам не радел ни о чем из того. Но когда поднесли ему меч со словами его брата, чтобы он тем мечом непокоряющихся ему казнил, а покоряющимся честь воздавал, то великий князь Борис собственными руками принял тот меч. И ржевичи, увидав это предначертание и храбрость славного государя, сильно устрашились, говоря себе: «Да, храбр сей князь. Ни о чем не печется, а меч любит».
Но князь же великий Борис восхотѣ поехати ко граду Ржеве в день въскресениа. И полѣтѣ, якоже высокопарний орлъ на свой ловъ. И ржевичи же срѣтоша его на полѣ, и архимандриты же, и игумены, и попове, и прочии людие вси града того сретоша со кресты великого князя Бориса Александровича. И бысть радость велика во градѣ том, но яко дарова им Богъ государя, и пастыря, и истиннаго христолюбьца, и защитника земли ихъ.	И великий князь Борис пожелал поехать к городу Ржеву в воскресный день. И полетел, как высокопарящий орел на лов свой. И ржевичи встретили его в поле, и архимандриты, и игумены, и попы, и все другие люди того города встретили со крестами великого князя Бориса Александровича. И была великая радость городу тому, что даровал им Бог государя, и пастыря, и истинного христолюбца, и защитника их земле.
Но князь же великий Борис слушав Божественыи литоргии въ храми пресвятыя Богородици, но и оттолѣ поиде на свой дворъ. И позвавъ пировати своих князей и воевод и тъ земцевъ сущих и подаде имъ честь великую. И пребыв во градѣ том два дни, а на третей день поѣхал во свояси.	И великий князь Борис, слушав Божественную литургию в храме пресвятой Богородицы, пошел оттуда к своему двору. И позвал пировать своих князей, и воевод, и местных жителей, там бывших, и воздал им великую честь. И оставался в городе два дня, а на третий день поехал восвояси.
Но той же зимы на Федоровѣ недели[140] приидоша воеводы великого князя Бориса, Борис Захарииничь да Семен, со всѣмъ войском добри здрави.	И в ту же зиму на Федоровой неделе вернулись воеводы великого князя Бориса, Борис Захарьинич и Семен со всем войском, живы и здоровы.
И той же зимы князь Дмитрей выпусти великую княгиню Софью из нятиа.	И в ту же зиму князь Дмитрий освободил из плена великую княгиню Софью.
Но той же зимы приидоша посли от Великого Новагорода[141] и добиша челом великому князю Борису Александровичю на всей волѣ, но как положи Богъ по сердцу великому князю Борису Александровичю, как и пожаловати. И тако они челомъ добили и поруб тфѣрской весь отдаша; а что воеводы тфѣрскиа ходив повоевали землю ихъ и что иное у них поимали, и тому всему погреб.	И в ту же зиму пришли послы из Великого Новгорода и били челом великому князю Борису Александровичу, чтобы пожаловать ему их по своей воле, как положит Бог на сердце великому князю Борису Александровичу. И так били они челом, и все, что было награблено в Тверской земле, отдали; а что тверские воеводы завоевали из их земель и прочее, что у них захватили, то все забыть.
Но той же зимы послал князь великий Василей на князя на Дмитрея да на князя на Ивана на Ондрѣевича на Кострому дву царевичъ, Трегуба да Агуба,[142] а с ними брата своего князя Михаила Андрѣевича и множество войска.	И в ту же зиму послал великий князь Василий на князя Дмитрия и на князя Ивана Андреевича в Кострому двух царевичей, Трегуба и Агуба, и вместе с ними брата своего, князя Михаила Андреевича, и множество войска.
Но той же зимы князь великий Василей обручал дщерь у великого князя Бориса, княжну великую Марию за своего сына, за князя Ивана. И был на обруение томъ боголюбивый епископъ тфѣрскый Илиа и вси князи и велможии, и елико их под областию великого князя Бориса; а з другиа страны — самъ князь великий Василей, а с ним князей и боаръ множество. Но таковѣй бо тѣснотѣ сущи, но якоже ни граду их не вместити. И бысть радость велиа. Но якоже и преди рекохомъ, но обратил Богь плач на радость. И москвичи же радовашеся, яко учинися Москва Тфѣрь, а тфѣричи радовашеся, якоже Тьфѣрь Москва бысть, но два государя воедино совокупишася.	И в ту же зиму обручил великий князь Василий сына своего, князя Ивана, с дочерью великого князя Бориса, великой княжной Марией. И был при том обручении боголюбивый епископ тверской Илия и все князья и вельможи, сколько их ни есть под властью великого князя Бориса; а от другой стороны — сам великий князь Василий и с ним множество князей и бояр. Так было там многолюдно, что город не мог всех вместить. И была радость великая. Как и сказали мы раньше, обратил Бог плач на радость. И москвичи радовались, что учинилась Москва Тверью, а тверичи радовались, что Тверь стала Москвой, два государя соединились в одно.
Но той же зимы прииде князь Василей со Тфѣри на Москву и седе на великое княжение владимерское[143] поможениемъ и любовию брата своего великого князя Бориса.	И в ту же зиму пришел князь Василий из Твери в Москву и сел на великое княжение владимирское благодаря помощи и любви брата своего, великого князя Бориса.
Но той же зимы послал князь великий Василей к великому князю Борису помыслы свои постраивати мира, но наипаче же собѣ взяти любовъ сердечную.	И в ту же зиму послал великий князь Василий к великому князю Борису известить о намерениях своих не только мир держать, но и более того — держать между собой любовь сердечную.
И ей, сбыстся. В лѣто 6956 прииде литва нѣкъто воеводка, именем Ярославко, князя Ивана Бѣлскаго[144] и засѣде Ржеву крамолою и совѣтом ржевскым. И того же лѣта послал князь великий Борис свою силу ко Ржевѣ. И онѣ же стоаше и волости повоевали, а града же не взяша и отступиша.	И ей, ей, случилось. В 6956 (1448) году пришел из Литвы некий воевода князя Ивана Бельского по имени Ярославко и захватил Ржев благодаря измене и заговору ржевичей. И в том же году послал великий князь Борис свое войско ко Ржеву. И они город осадили, и принадлежащие ему земли завоевали, но города не взяли и отступили.
И той же осени король великополский, краковские и великий князь литовский Казимиръ собра воя свои многи и восхотѣ поити ко Тфѣри на великого князя Бориса. И слышав же сие князь великий Борис, и поиде противу, и събра своя силы многы, и еще же прииде к нему на помощь князь Иван Ондрѣевич Можайский. И слышавъ же сие король, но яко князь великий Борис грядет противу со многою силою, и начаста межи себя послы ссылати, и в той час взяста межи себе миръ и възвратистася коиждо во свояси. А Ржевы отступися король великому князю Борису.	И в ту же осень Казимир краковский, король великопольский и великий князь литовский, собрал множество своего войска и возжелал пойти на Тверь, на великого князя Бориса. И, узнав об этом, великий князь Борис выступил ему навстречу, собрав множество своих сил, да еще пришел к нему на помощь князь Иван Андреевич Можайский. И король, услыхав, что великий князь Борис идет на него со многими силами, стал обмениваться с ним послами, и в тот час заключили между собой мир, и каждый возвратился восвояси. А Ржев король уступил великому князю Борису.
В лѣто 6957. Князь великий Борис Александрович посла свои намѣстникы опять на Ржеву.	В 6957 (1449) год. Великий князь Борис Александрович послал опять своих наместников во Ржев.
В лѣто 6960. Женися у великого князя Бориса сынъ князя великого Василиа, князь великий Иван, и поя за себе княжну великую Марию. И того же лѣта поча князь великий Борис ставити церковъ каменную на своемъ дворѣ Святого Михаила[145] на сѣнѣх. И того же лѣта князь великий Борис повелѣ около Тфѣри ровъ копати.	В 6960 (1452) год. Женился сын великого князя Василия, великий князь Иван, и взял за себя дочь великого князя Бориса, великую княжну Марию. И в том же году начал великий князь Борис строить на своем дворе церковь каменную (во имя) Святого Михаила, на сенях. И в том году повелел великий князь Василий вокруг Твери ров копать.
В лѣто 6961. Приходил князь Дмитрей Шемяка под град Кашинъ. Но прииде бо не яко есть обычай есть князем или воеводам мужествовати явѣ, но, яко есть хищникъ, тайно прииде и никомуже его вѣдущи; но не бѣ бо сынъ свѣту, не ходитъ въ дне, но прииде в нощи до звону заутреняго. И людемь же тогда всѣмъ по Божественым церквам молитву творящим, но бяше день неделный. Нача же и посады зажигати. А людей же въ граде велми мало, но понеже бо никому невѣдомо; а намѣстници же тогды на Кашине были: Иванъ Яковлич,[146] да Констянтин Феодоровичь, да братъ его Феодоръ Феодоровичь. И начаша совѣщеватися с тысящникы земьскыми и с боляры, и ркуще в собѣ: «И аще ли нас мало, но поидем противу ихъ. Но силенъ бо есть Богъ милостию своею. Но аще ли восхощет Богъ, то и малыми великая побѣдит. И нѣсте ли слышали писаннаго: но единъ тысящу побѣдит, а два тму, и аще ли Богь повелит». И поидоста противу, и ркуще: «Господи, услыши молитву нашю! И на тя, Господи, уповах, спаси нас! Не на лук бо нашь уповаемъ! Ни оружие соблюдает нас, но яко ты еси самъ царь Богъ нашь, но аще ли восхощеши, но та вся возможна тебѣ. Но и мы же о тебѣ похвалимься весь день, и о имени твоем уничижим вся въстающая на ны. И ненавидящая ны потребѣ, Господи. Но и нынѣ, Господи, самъ видиши князя Дмитрея церкви Божии огневи предающа. И о сем не премлъчи, Боже. И аще ли бы ны враг пришел, рекъше тотаринъ, но претерпѣли бы быхом от него. Но сей же единово крещениа христианства с нами, а дѣла тотарьская творит, но еже образовъ Божиих не пощадил. И уста его умножишася злобы, и сердце его собра безаконие собѣ. Но ты же, Господи, не предай же нас до конца в руцѣ врагу церквам Божиимъ, но и о семъ познаим, яко не възрадуеться о нас враг, и в поношение безумному не дай же нас!». И в той час поидоста изъ града противу ратным. И помощиею же Божиею и частиюм государя нашего, великого князя Бориса Александровича, но овѣх бѣша, а овѣх живых поимааше, а инии язвленнии злѣ живот свой скончаша.	В 6961 (1453) год. Приходил князь Дмитрий Шемяка под город Кашин. И пришел не так, как это в обычае у князей и воевод — мужествовать явно, — но тайно, как хищник, пришел, когда никто об нем не ведал; не будучи сыном света, не пришел днем, а пришел в ночи до звона заутреннего. В то время все жители молились в церквах Божиих, ибо день был воскресный. И начал жечь посады. А людей в городе было очень мало, так как никто не подозревал (о нападении); а наместниками тогда в Кашине были: Иван Яковлевич, да Константин Федорович, да брат его Федор Федорович. И стали они совещаться с земскими тысяцкими и боярами, говоря себе: «Хоть и мало нас, но пойдем на них. Ибо силен Бог в милости своей. Если Бог захочет, он и малыми победит великих. Разве не знаем мы, что написано: “Один одолеет тысячу, а двое — десять тысяч, если Бог повелит”». И выступили против врагов, говоря: «Господи, услышь молитву нашу! На тебя уповаем, Господи, спаси нас! Не на луки наши уповаем! Не оружие оберегает нас, но ты один, царь и Бог наш; что ты пожелаешь, все возможно тебе. И мы по твоей милости всегда радуемся и именем твоим победим всех, восстающих на нас. Уничтожь ненавидящих нас, Господи. Видишь сам ныне, Господи, как князь Дмитрий предает огню церкви Божий. Не оставь того без наказания, Господи! Если бы враг на нас пришел, например, татарин, тогда бы еще стерпели это от него. Но этот — одного с нами крещения, христианин, а дела татарские творит, не щадит икон Божиих. Исполнились злобы уста его, и сердце его стяжало беззаконие. Но ты, Господи, не предай нас до конца в руки врага церквам Божиим, да убедимся мы, что не восторжествует над нами враг, и не выдай нас на поношение безумцу!» И в тот же час выступили из города навстречу войску. И с Божией помощью и благодаря счастью государя нашего, великого князя Бориса Александровича, одних побили, других живыми взяли в плен, третьи же, получив раны, сами бесславно испустили дух свой.
И князь же Дмитрей, видѣвъ помощь Божию воеводам великого князя Бориса, но побѣже, и прииде на мѣсто, глаголемое Киасово. И въсхотѣ стати от труда почити, но и видѣ свое войско безсчислено умирающи, иже суть язвлении. Не токмо ти умирающи злѣ, но и еще и здравыхъ болши 500 человѣкъ отступиша от него. Но ведущи, яко надежда его обетшевает и съвѣты его Богъ разссыпает, и оттолѣ побѣже. И никтоже его не вѣсть, гдѣ бѣ, но взыскахом бо его и не обрѣтохомъ и мѣста его. Мнози бо глаголют: се здѣ или ондѣ, но и никтоже его не вѣсть. Но мню, послѣдняя его зрит в погибель.	И князь Дмитрий, увидав Божию помощь воеводам великого князя Бориса, обратился в бегство, и пришел на место, называемое Киасово. И захотел остановиться здесь, чтобы оправиться от потерь, видя в своем войске бесчисленное число людей, умирающих от ран. И не только погибали раненые, но еще и здоровые, больше пятисот человек, покинули его. И поняв, что ему не остается надежды, что разрушает Бог его замыслы, бросился и оттуда (князь Дмитрий) снова в бегство. И никто не знает, где он, ибо искали его и не нашли даже следа его. Многие говорят о нем, будто находится он тут или там, но никто не знает, где он. Я думаю, что ждет его окончательная погибель.
И той же осенѣ посла князь великий Борис за тым же князем Дмитреемъ воеводу своего, князя Андрѣя Дмитреевича да князя Михаила Дмитреевича же,[147] и иных многих. Но и они же за ним хожаше много и не нашедше его, но понеже крыяшеся в пустых и непроходимых мѣстех; и воеводы же великого князя Бориса приидоша добри здрави.	В ту же осень послал великий князь Борис за тем князем Дмитрием своего воеводу, князя Андрея Дмитриевича, и князя Михаила Дмитриевича, и многих других. Но и они искали его долго и не нашли, ибо он скрывался в пустынных и непроходимых местах; и воеводы великого князя Бориса вернулись живы и здоровы.
Но той же осенѣ послал князь великий Борис посла своего Ивана Давыдовича в Суздаль обручати за себя княжну, дщерь княжу Александрову Суздальскаго. Той же зимы, за неделю до мяснаго заговѣниа, приведена бысть княжна Настасиа[148] за великого князя Бориса. И вѣнча их Илиа, владыка тфѣрский въ Святом Спасѣ; и народу же ту сущи многу, не токмо ихъ церкви не мѣстити, но ни граду. Но бысть радость и веселие велие, но не токмо, но и на многы дни.	В ту же осень послал великий князь Борис своего посла Ивана Давыдовича в Суздаль сватать за себя княжну, дочь князя Александра Суздальского. И в ту же зиму, за неделю до мясного заговенья, приведена была княжна Анастасия за великого князя Бориса. И венчал их Илия, владыка тверской, в храме Святого Спаса; и было так много народу, что не только в церкви все не вмещались, но даже и в городе. И были радость и веселье великое не только (в этот день), но многие дни.
