ЖИТЬЕ И ХОЖЕНЬЕ ДАНИЛА РУСЬСКЫЯ ЗЕМЛИ ИГУМЕНА	ЖИТИЕ И ХОЖДЕНИЕ ИГУМЕНА ДАНИИЛА ИЗ РУССКОЙ ЗЕМЛИ
В ПЕЩЕРѢ МЕЛЬХИСЕДЕКОВѢ	В ПЕЩЕРЕ МЕЛХИСЕДЕКА
Ту есть на той же горѣ Фаворстѣй пещера чюдна зѣло на равнѣ. Тако есть, яко погребець малъ въ камени иссѣченъ. И оконце мало было на версѣ пещеры тоя святыя. Трапеза создана днѣ в пещерѣ той на встокъ лиць; дверци имат малы, слѣсти же в пещеру ту по степенемь от запада лиць. И пре-дверми же пещеркы тоя стоятъ смоковици малы; около ея стоятъ древца мала всякаа. Прьвое же был лѣсъ велик ту около пещеры тоя, нынѣ же мала и худа древца суть ту. И в той пещерици жилъ святый Мелхиседекъ, и ту прииде к нему Авраам и возва 3-жды, и рече: «Человѣче Божий!» Изиде Милхиседек, и изнесе хлѣбъ и вино, и созда жрътовник ту въ пещерѣ той, створи жертву хлѣбом и вином, и абие взяться жертва на небеса к Богу. И ту благослови Мелхиседекъ Авраама, и остриже и Авраам, и обрѣза нокти его, и бѣ бо космать Мелхиседек. И то бысть начатокъ литургиам хлѣбом и вином,[216] а не опрѣсноком.[217] О том пророкъ глаголеть: «Ты еси иерѣй в вѣкы по чину Мелхиседекову».[218] И есть пещерка та вдалѣ от Преображениа, яко дострѣлить добрѣ, и есть къ западу лиць мѣсто то святое.	Тут же, на той же горе Фаворской, есть весьма чудесная пещера на ровном месте. Она похожа на небольшой погреб, высеченный в камне. И окошко маленькое было на верху пещеры той святой. Трапеза сделана на дне той пещеры с восточной стороны, дверцы у нее маленькие, вход в эту пещеру по ступеням с запада. А перед дверьми пещерки той стоят маленькие смоковницы; вокруг нее стоят всякие маленькие деревца. Прежде же был там лес большой, около той пещеры, а ныне там маленькие и слабые деревца. В той пещере жил святой Мелхиседек, и сюда пришел к нему Авраам и воззвал трижды, сказав: «Человек Божий!» Вышел Мелхиседек и вынес хлеб и вино, сделал здесь, в пещере той, жертвенник, и принес жертву хлебом и вином; и тут же была взята жертва на небеса к Богу. И там благословил Мелхиседек Авраама, а Авраам его постриг и обрезал ему ногти, ибо космат был Мелхиседек. И это было начало литургиям хлебом и вином, а не опресноками. О том пророк говорит: «Ты архиерей вовеки по чину Мелхиседекову». Расположена пещерка та на расстоянии примерно с хороший выстрел от Преображения; в западном направлении оно, место то святое.
И ту почьстиша ны добрѣ в манастыри том у святого Преображенья, и ту обѣдахом. И опочивше добрѣ, и вставше, идохомъ въ церковь святаго Преображения, и поклонихомся на мѣстѣ святѣмь, идеже преобразися Христос Богъ нашь, и облобызавше мѣсто то святое с любовию и радостию великою, и вземше благословение от игумена и от всее братии, изидохом из манастыря того святого, и обиходивше вся мѣста святаа по всей горѣ той святѣй. Туда бо путь есть мимо пещеру ту Мелхиседекову к Назарефу. Назарефъ есть на запад лиць от Фавора. И второе паки любовию влѣзохом в пещеру ту святую и поклонихомся святѣй той трапезѣ, юже создалъ Мелхиседекъ со Авраамом. И есть до дняшняго дне трапеза та в пещерѣ той. И нынѣ приходить ту святый Мелхиседекъ часто и литургисает в пещерѣ той святѣй, и почивают вси вѣрнии, иже ту живут, в горѣ той святѣ. Ти же ми повѣдаша о том поистинѣ. И похвалихом Бога, сподоблешаго нас, худых и недостойных, видѣти та святаа мѣста и облобызати устнами недостойными.	Хорошо приняли нас там, в монастыре том у святого Преображения, и мы там обедали. А поспав хорошо и встав, пошли в церковь святого Преображения, и поклонились на месте святом, где преобразился Христос Бог наш, и поцеловали место то святое с любовью и радостью великою, и, взяв благословение от игумена и от всей братии, вышли из монастыря того святого и обошли все святые места по всей горе той святой. Ибо там, мимо той пещеры Мелхиседека, идет путь к Назарету. Назарет же лежит на запад от Фавора. И опять, во второй раз, вошли мы с любовью в ту святую пещеру и поклонились святой той трапезе, которую создал Мелхиседек, будучи с Авраамом. И стоит до сего дня трапеза та в пещере. И ныне приходит туда часто святой Мелхиседек и служит литургию в пещере той святой, и почивают все верные, что живут на горе той святой. Они мне и поведали о том поистине. И мы похвалили Бога, сподобившего нас, худых и недостойных, видеть те святые места и целовать их устами недостойными.
И прочее снидохомъ с горы Фаворски долвь на поля и идохом по полю двѣ верстѣ к Назарефу на запад лиць. И есть от Фарския горы до Назарефа 15 верстъ великых; по полю двѣ верстѣ, а 3 в горах; путь тяжекъ велми и тѣсенъ, зѣло непроходен: туды бо погании срацини мнози сѣдят в горах тѣхъ, и по полю тому села суть многа срациньскаа, и ти биють, выходяще из селъ тѣх, в горѣ той страшной. И бѣдно ми ити в малѣ путем тѣмъ. Но ли со многою дружиною, то тако может проити путем тѣмъ бе-страха; нам же не пригодишася дружина, но сами едини тако, толко 8 нас, и то же худа и безъ оружия, на Бога надѣющеся, проидохом. Божиею благодѣтию храними и молитвами святыми Владычица нашея Богородица сблюдаеми, бес пакости по здраву доидодхом святаго града Назрефа, идѣже бысть святое благовѣщение святѣй госпожи Богородици от аггела Гавриила.[219] Ту же и Христос въскормлен бысть.	А затем сошли мы с горы Фаворской вниз на поля и шли по полю две версты к Назарету, на запад. И от Фаворской горы до Назарета пятнадцать верст больших: по полю две версты, а три в горах; путь весьма тяжел и узок, очень трудно проходим, ибо много поганых сарацин сидит в горах тех, а по полю тому сел много сарацинских, и они убивают, выходя из сел тех, на той страшной горе. И боязно мне было идти с малым числом спутников тем путем. Вот с большим отрядом можно было бы пройти путем тем без страха, у нас же не оказалось отряда, и мы сами, одни — а всего-то нас восемь, и те слабые и без оружия — на Бога надеясь, прошли. Божиею благодатию хранимые и молитвами святой Владычицы нашей Богородицы соблюдаемые, без пакости поздорову дошли до святого города Назарета, где было святое благовещение святой госпоже Богородице от ангела Гавриила. Тут же и Христос вскормлен был.
О ГРАДѢ НАЗАРЕФѢ	О ГОРОДЕ НАЗАРЕТЕ
Назарефь же градок малъ есть в горах на удолнѣ мѣстѣ, да оли надшед над онь то же узрѣти. И посредѣ градка того церкви создана велика вверхъ о трех олтарех. И, влѣзучи в церковъ ту, на лѣвѣй руцѣ есть яко пещерка мала глубока пред малым олтарцем. Имать же двери малы двои пещера та: едины дверци от запада, а другии дверци къ встоку лиць. Слѣсти по степенемъ въ пещеру ту и во обоих дверцих тѣх. Влѣзучи в пещеру ту западными дверми, на правой руцѣ есть келия создана, дверци малы имущи; и в той келийци жила святаа Богородица со Христомь, ту въскормленъ бысть Христос, в святой той храминци; и ту ложица его, идеже лежал Исус, ту в келийци той. Ложицею тако низко на земли создано.	Назарет же представляет собой маленький городок в горах на низком месте, так что, только оказавшись над ним, можно его увидеть. Посреди городка того церковь выстроена большая и высокая о трех алтарях. И когда входишь в ту церковь, по левую руку как бы пещерка маленькая глубокая перед малым алтарем. Две двери маленькие у пещеры той: одни двери с запада, а другие — с востока. Вход в ту пещеру по ступенькам в обе те двери. Когда входишь в пещеру ту западными дверями, по правую руку — келия, выстроенная с маленькими дверьми: в той келейке жила святая Богородица со Христом, здесь вскормлен был Христос, в святом том помещеньице; тут и ложице его, на котором лежал Иисус, — тут, в келейке той. Ложице его сделано так низко на земле.
О ГРОБѢ ИОСИФА ОБРУЧНИКА	О ГРОБЕ ИОСИФА ОБРУЧНИКА
В той же пещерѣ, западными дверми влѣзочи, на лѣвѣй руцѣ есть гробъ святаго Иосифа, обрученика Мариина. Ту его Христос самъ погреблъ своима рукама пречистыма. Исходит у гроба его от стѣны яко миро, вода святаа бѣла, и взимають на ицѣление недужнымъ.	В той же пещере — когда западными дверьми входишь в нее, по левую руку — есть гроб святого Иосифа, обручника Марии. Тут Христос сам погреб его своими руками пречистыми. Исходит около гроба его от стены как бы миро, вода святая белая, и берут ее для исцеления недужных.
О ПЕЩЕРѢ, ИДѢЖЕ СѢДЯШЕ СВЯТАА БОГОРОДИЦА	О ПЕЩЕРЕ, ГДЕ СИДЕЛА СВЯТАЯ БОГОРОДИЦА
Ту есть мѣсто в той же пещерѣ у дверей западных близь, на том мѣстѣ сѣдяше святаа Богородица при дверех тѣхъ близь и скаше кокнит, еже есть червленица. И ту прииде Гаврил архаггелъ, посланъ от Бога къ дѣвици Марии.	Есть там место в той пещере — близко от западных дверей: на том месте сидела святая Богородица, близко у дверей, и сучила кокнит, что значит багряницу. Сюда и пришел архангел Гавриил, посланный от Бога к деве Марии.
ИДѢЖЕ БЛАГОВѢСТИ АРХАГГЕЛѢ СВЯТѢЙ БОГОРОДИЦИ	ГДЕ БЛАГОВЕСТИЛ АРХАНГЕЛ СВЯТОЙ БОГОРОДИЦЕ
И ста пред нею, яви очи вѣсть, подаль мало от мѣста, идѣже сѣдяше Пречистая Девица. Яко 3-и столпъ вдалѣ есть мѣсто то от дверей пещерных, идеже стояше Гавриилъ.[220] Ту поставлена трепезка мала, кругла, мраморяна, объ едином столпци; и на той трапезѣ литургисають.	И стал перед нею, сделавшись виден очам, чуть поодаль от места, где сидела Пречистая Дева. Примерно три столпа расстояние от дверей пещерных до того места, где стоял Гавриил. Тут поставлена маленькая круглая мраморная трапеза на одном столпце, и на той трапезе служат литургию.
О ДОМУ ИОСИФА ОБРУЧЕНИКА	О ДОМЕ ИОСИФА ОБРУЧНИКА
И ту есть был домъ Иосифовъ, и где то есть пещера та святаа: все ся то дѣяло в дому Иосифовѣ, обрученика Мариина. И ту есть церкви создана над пещерою тою святою во имя святаго Благовѣщениа. То было мѣсто святое опустѣло прьвѣе, нынѣ же фрязи обновили мѣсто то суть и устроили добрѣ. И есть ту епископъ латиньский, богатъ зѣло, и то владѣеть мѣстом тѣм святым. И почьстиша нас добрѣ питием и ядениемъ, и всѣм. И лежахом ту нощь едину в градцѣ том. И почивше добрѣ, и заутра вставше, идохом въ церковь ту и поклонихомся святому тому мѣсту. И, вшедше въ святую ту пещеру, и ту поклонимся святымъ тѣмъ мѣстом всѣмъ. И изидохдом из града того, и поидохом мало на лѣтний встокъ лиць, и обрѣтохом кладязь чюденъ, и глубок, и студен зѣло; и слѣсти есть по степенемъ к водѣ той глубоко. И есть надъ кладязем тѣм создана церкви во имя архаггела Гавриила, и есть круга образомъ.	Был дом Иосифов там, где находится пещера та святая: все то происходило в доме Иосифа, обручника Марии. И тут церковь создана над пещерою тою святою во имя святого Благовещения. Это место святое опустело было прежде, ныне же фряги обновили и устроили хорошо то место. И там пребывает епископ латинский, богатый весьма, и владеет местом тем святым. И почтили нас там хорошо питием, и едой, и всем. И спали мы там одну ночь, в городке том. И, поспав хорошо и наутро встав, пошли в ту церковь и поклонились всем тем святым местам. И выйдя из города того, пошли мы немного на юго-восток и нашли колодец чудесный, и глубокий, и очень холодный; и надо спускаться к той воде глубоко, по ступенькам. А над колодцем тем создана церковь во имя архангела Гавриила, и она круглая по форме.
О КЛАДЯЗИ, ИДЕЖЕ АГНЕЛЪ ПРЬВОЕ БЛАГОВѢСТИ	О КОЛОДЦЕ, ГДЕ АНГЕЛ В ПЕРВЫЙ РАЗ БЛАГОВЕСТИЛ
Есть же отъ града Назарефа вдале яко дострѣлити добрѣ до кладязя того святаго: у того бо кладязя бысть прьвѣе благовѣщение святѣй Богородици от аръаггела. Пришедши бо ей по воду, и яко почерпе водоносъ свой, възгласи ей агтелъ невидимо и рече: «Радуйся, обрадованнаа, Господь с тобою!». Озрѣвся Мария сюду и сюду, ни видѣ никогоже, но токмо глас слыша, и вземше водоносъ свой, идяше, дявящися во умѣ своем, рекущи: «Что се будеть глас, еже слышах, никогоже не видѣхъ?» И вниде в Назарефь, и вниде в дом свой, и сѣде на прежереченномь мѣстѣ, и начат скати кокнитъ; и тогда явися архагтелъ Гавриилъ явѣ, стоя на прежереченном мѣстѣ. Тогда ей благовѣсти рождество Христово.	От города Назарета расстояние приблизительно в хороший выстрел до колодца того святого: у того колодца ведь было первое благовещение святой Богородице от архангела. Ибо пришла она по воду, и, когда зачерпнула водонос свой, возгласил ей ангел невидимый, сказав: «Радуйся, обрадованная, Господь с тобою!» Оглядевшись туда и сюда, Мария никого не увидела, но только голос слышала и, взяв водонос свой, пошла, удивляясь и говоря в уме своем: «Что это за голос, который я слышала, никого не видя?» И вошла в Назарет, и вошла в дом свой, и села на вышеназванном месте, и начала сучить кокнит; и тогда явился архангел Гавриил явно, стоя на вышеназванном месте. Тогда он ей благовестил рождество Христово.
И есть же от Назарефа до села Исавова 5 верстъ.	От Назарета же до села Исавова пять верст.
О КАНИ ГАЛЕЛѢЙСТѢЙ	О КАНЕ ГАЛИЛЕЙСКОЙ
А от села того до Кана Галилеи полторы версты. Кана Галия же есть на людском пути, и ту Христос воду в вино преложи. И ту обрѣтохом дружину многу, идущу въ Акру, и пристахомъ к ним съ радостию великою, идохом с ними въ Акру.	А от того села до Каны Галилейской полторы версты. Кана Галилейская стоит на людном пути, и там Христос воду в вино превратил. И там обнаружили мы отряд большой, идущий в Акру, и пристали к ним с радостью великою, и пошли с ними в Акру.
Акра же град[221] есть был срациньский, нынѣже фрязи[222] держать. Есть же градок-отъ Акра на Велицем мори, и лимень под нимь добръ велми. Всѣм обиленъ есть градок. А от Назарефа до Акры есть верстъ 28 великих, есть же Акра к полудню лиць от Назарефа. И ту пребыхом во Акрѣ 4 дни, и опочивше ту добрѣ, и обрѣтохом дружину многу, идущю въ святый град Иерусалимъ, и пристахом къ дружинѣ той и поидохом с ними с радостию, веселящеся, и придохом в Каифу. А оттуда идохом къ горѣ Каръмильстѣй, и туда идохом. И ту есть в горѣ той пещера святого Илии пророка. И ту поклонихомся, а оттуда идохом в Капернаум. А от Капернаума приидохом в Кесарию Филипову. И туда есть путь все ити подлѣ Великое море по полю, а другое по пѣском оли до Кесария. Ту пребыхом 3 дни въ градѣ томъ Кесарийстѣм. И ту есть былъ Корнилие, егоже Петръ апостолъ крестилъ.[223] А от Кесариа идохом в Самарию: налево от Кесария в Самарию путь есть в горы; есть верстъ 20 от Кесария до Самарии. И быхом другаго дне полудне в Самарии. Но по тиху идуще и зноа ради, и не можаху людие пѣши ходити въ зной. И ту нощь прележахом пред градом тѣмъ Самариею у кладязя Ияковля, идеже Христос бесѣдова съ женою самарянынею.	Акра же был город сарацинский, а ныне владеют им фряги. Расположен городок этот Акра на Великом море, и залив под ним очень хорош. Всем изобилует городок. А от Назарета до Акры двадцать восемь больших верст; Акра находится к югу от Назарета. И мы пробыли там, в Акре, четыре дня и, отдохнув там хорошо и найдя отряд большой, идущий в святой город Иерусалим, пристали к отряду тому и пошли, с радостью, веселясь, и пришли в Кайфу. А оттуда шли к горе Кармилской, — и туда пошли. И есть там, в горе той, пещера святого Ильи-пророка. И мы поклонились там, а оттуда пошли в Капернаум. А от Капернаума пришли в Кесарию Филиппову. А путь туда идет все подле моря Великого по полю, а иначе — по пескам до самой Кесарии. Пробыли мы там три дня, в городе том Кесарийском. Там и жил Корнилий, которого крестил апостол Петр. А от Кесарии пошли в Самарию: налево от Кесарии дорога в Самарию, через горы; верст двадцать от Кесарии до Самарии. И были на другой день в полдень в Самарии. Но из-за зноя медленно шли: не могли люди идти пешком в зной. А ту ночь мы провели перед городом тем Самариею у колодца Иакова, где Христос беседовал с женщиной самарянкой.
О ЕРУСАЛИМѢ	О ИЕРУСАЛИМЕ
И оттуда, вставше, поидохом путем своим, имже бяхом пришли изъ Ерусалима. И доидохом святаго града Иерусалима с радостию великою по здраву.	И оттуда, встав, пошли мы путем своим, которым прежде пришли из Иерусалима. И дошли до святого города Иерусалима с радостью великою поздорову.
Ничтоже зла не видѣхом на пути сем, но все добро показа намъ Богъ видѣти очима своима, вся святаа та мѣста. Куда Христос Богъ нашь походил нашего дѣля спасения, туда же и нас грѣшных сподоби походти и видѣти святаа та мѣста. И чюдную ту землю Галилейскую видѣхом очима своима, всю землю Палестину Богъ сподоби мя обиходити. И Божиею благодатию храними, и походихом бес пакости, молитвами святыя Богородица съблюдаеми; и походихом всю Палестиньскую землю. Та бо земля вся зовется около Иерусалима Палестина.	Никакого зла не видели мы на пути этом, но все хорошо показал нам Бог, чтобы мы видели глазами своими все те святые места. Где Христос Бог наш ходил нашего ради спасения, туда же и нас, грешных, сподобил сходить и дал нам видеть те святые места. И чудную ту землю Галилейскую видели мы очами своими; всю землю Палестину Бог сподобил меня обойти. И, Божиею благодатию хранимые, исходили без пакости, молитвами святой Богородицы соблюдаемые, и обошли всю Палестинскую землю. Ведь та земля вся вокруг Иерусалима называется Палестина.
Божиею помощию укрѣпляем, походих мѣста та святаа, не видъх нигдеже поганых, ни лютаго звѣри, ни пригоди ми ся видѣти иного зла ничтоже, ни немощи малы не почютих в тѣлѣ моем; но всегда, яко орелъ облегчеваем, Божиею благодатю съблюдаем и силою Вышняго укрѣпляемъ. Аще и похвалити ми ся подобает, но силою Христа своего похвалюся; о немощи же моей похвалюся: «Сила бо моя в немощи свершается»,— апостолъ глаголеть Павел.[224] Да что въздамъ Господеви за вся, яже въздасть мнѣ, худому и грѣшному и недостойному, толику благодѣть видѣти, и походити по святым симъ мѣстом, и исполнити ми желание сердца моего? Егоже есмь сподобился видѣти, то же ми показа Богъ видѣти недостойному рабу и худому.	Божиею помощью укрепляем, обошел я места те святые, не встретив нигде ни поганых, ни лютого зверя, не пришлось мне увидеть и иного зла никакого, ни немощи малой не почувствовал я в теле моем, но всегда был, как орел, легок, Божиею благодатию соблюдаем и силою Вышнего укрепляем. Хотя и надо бы мне похвалиться, но только силой Христа моего похвалюсь: ибо «сила моя в немощи совершается», как говорит апостол Павел. И что воздам Господу за все, что он мне, плохому, грешному и недостойному, дал столькую благодать видеть и походить по святым этим местам и исполнить мне желание сердца моего? Ведь то, что я сподобился видеть, это же мне показал Бог, чтобы я видел, недостойный раб и дурной.
Да простите мя, братие и отци и господие мои, и не зазрите худоумию моему, еже написах се не хитро, но просто, о мѣстѣх сих святых, и о Иерусалимѣ, и о Земли сей обѣтованнѣй. Обаче аще и не мудро написах, но не ложно: якоже видъх очима своима, тако и написах.	И простите меня, братья, отцы и господа мои, и не попрекните худоумие мое, что написал не хитро, но просто, о местах этих святых, и о Иерусалиме, и о Земле этой обетованной. Однако же хоть и не мудро написал, но и не ложно: как видел глазами своими, так и написал.
О СВѢТѢ НЕБЕСНѢМ: КАКО СХОДИТ КО ГРОБУ ГОСПОДНЮ	О СВЕТЕ НЕБЕСНОМ: КАК СХОДИТ КО ГРОБУ ГОСПОДНЮ
А се о свѣтѣ святѣмъ, како сходит къ Гробу Господню. Се ми Господь показа видѣти худому и недостойному рабу. И видѣх очима своима грѣшныма поистинѣ, како сходит святый свѣт къ Гробу животворящему Господа нашего Исуса Христа. Мнози бо странници неправо глаголють о схожении свѣта святаго; инъ бо глаголеть, яко Святый Духъ голубем сходит къ Гробу Господню, а друзии глаголють: молнии сходить с небесе, и тако вжигаются кандила над Гробом Господнимь. И то есть лжа и неправда: ничтоже бо есть не видѣти тогда, ни голубя, ни молнии. Но тако, невидимо сходит с небеси благодатию Божиею и вжижгает кандила в Гробѣ Господни. Да и о том скажю, яко видѣх по истинѣ.	А это — о свете святом: как сходит ко гробу Господню. Это мне Господь дал видеть, худому и недостойному рабу. И видел очами своими грешными поистине, как сходит святой свет ко Гробу животворящему Господа нашего Иисуса Христа. Многие ведь странники неправду говорят о схождении света святого: ведь один говорит, что Святой Дух голубем сходит ко Гробу Господню, а другие говорят: молния сходит с небес, и там зажигаются лампады над Гробом Господним. И то ложь и неправда, ибо ничего не видно тогда — ни голубя, ни молнии. Но так, невидимо, сходит с небес благодатию Божиею и зажигает лампады в Гробе Господнем. Да и о том скажу, как видел, поистине.
В Великую пятницю по вечерни потирають Гробъ Господень, и помывают кандила та вся, и вливають масла честнаго без воды, единого масла того токмо. И вотъкнувше свѣтилна во оловца, и не вжигають свѣтилен тѣх, но тако оставляють кандила та невожжена. И запечатають Гробъ въ 2 час нощи. И тогда изгасять вся кандила и свѣщи по всѣм церквамъ въ Иерусалимѣ.	В Великую пятницу после вечерни протирают Гроб Господен, и вымывают лампады те все, и вливают масла чистого без воды — одного только масла того. И, воткнув светильники в оловцы, не зажигают светильников тех, но так оставляют лампады те незажженными. И запечатывают Гроб в два часа ночи. И тогда гасят все лампады и свечи по всем церквам в Иерусалиме.
Тогда азъ худый, недостойный, в ту пятницю, въ 1 час дни, идох къ князю тому Балдвину и поклонихся ему до земли. Он же, видѣв мя худаго, и призва мя к себѣ с любовию, и рече ми: «Что хощеши, игумене русьский?» Познал мя бяше добрѣ и люби мя велми, якоже есть мужь благодѣтенъ и смѣрен велми и не гордить ни мала. Аз же рекох ему: «Княже мой, господине мой! Молю ти ся Бога дѣля и князей дѣля русских: повели ми, да бых и азъ поставил свое кандило на Гробѣ Святѣмь от всея Русьскыя земля!» Тогда же онъ со тщанием и с любовию повѣле ми поставити кандило на Гробѣ Господни и посла со мною мужа, своего слугу лучьшаго, къ иконому Святаго Въскресения и к тому, иже держить ключь гробный. И повѣлѣста ми иконом и ключарь Святаго Гроба принести ми кандило свое с маслом. Аз же поклонився има, идохъ с радостию великою, и купих кандило стькляно, велико велми, и налиавъ масла честнаго все, принесох ко Гробу Господню, уже вечеру сущу. Упросихъ ключаря того, единого внутрь Гроба суща, и обѣстихся ему; он же отврьзе ми двери святыя, и повелѣ ми выступити ис калиговъ, и тако босого введе мя единого въ святый Гробъ Господень и с кандилом, еже нося с собою, и повелѣ ми поставити кандило на Гробѣ Господни. И поставих своима рукама грѣшныма в ногах, идеже лежаста пречистѣи нозѣ Господа нашего Исуса Христа. В главах бо стояше кандило гречьское, на персехъ поставлено бяше кандило Святаго Савы и всѣхъ монастырей. Тако бо обычай имут: по вся лѣта поставляють кандило гречьское и Святаго Савы. И благодѣтью Божиею та ся 3 кандила вожгоша тогда; а фряжьскаа каньдила повѣшена бяху горѣ, а от тѣх ниединоже възгорѣся.	Тогда я, дурной и недостойный, в ту пятницу в час дня, пошел ко князю тому Балдуину и поклонился ему до земли. Он же, видя меня, дурного, подозвал меня к себе с любовью и сказал мне: «Чего хочешь, русский игумен?» Он меня хорошо узнал и полюбил меня очень, поскольку муж он добродетельный, и смиренный весьма, и ничуть не гордый. Я же сказал ему: «Князь мой, господин мой! Молю тебя Бога ради и князей ради русских: повели мне, чтобы и я поставил свою лампаду на Гробе Святом от всей Русской земли!» Тогда он серьезно и с любовью повелел мне поставить лампаду на Гроб Господен, и послал со мной мужа, своего лучшего слугу, к эконому церкви Святого Воскресения и к тому, кто держит ключ от Гроба. И повелели мне эконом и ключник Святого Гроба, чтобы я принес лампаду свою с маслом. Я же, поклонившись им, пошел с радостью великой и купил лампаду стеклянную, очень большую, и, налив полную масла чистого, принес ко Гробу Господню, когда уже наступил вечер. Упросил я ключника того, одного тогда внутри Гроба бывшего, и кое-что обещал ему, и он открыл мне двери святые, велел мне снять сапоги, и так босого ввел меня одного в святой Гроб Господен с лампадой, которую я нес с собой, и повелел мне самому поставить лампаду на Гроб Господен. И я ее поставил своими руками грешными в ногах — где лежали пречистые ноги Господа нашего Иисуса Христа. Ибо в головах стояла лампада греческая, на груди же поставлена была лампада святого Саввы и всех монастырей. Ведь такой здесь обычай: каждый год ставят греческую лампаду и святого Саввы. И благодатию Божиею те три лампады загорелись тогда; а фряжская лампада повешена была сверху, а из тех ни одна не загорелась.
Аз же тогда, поставивъ кандило на Гробѣ Святѣмь, и поклонився честному Гробу тому, и облобызавъ мѣсто то святое с любовию и съ слезами, идеже лежало тѣло Господа нашего Исуса Христа, изидох из Гроба Святаго с радостию великою и идохъ в келию свою. 	Я же тогда, поставив лампаду на Гробе Святом, и поклонившись честному Гробу тому, и облобызав с любовью и со слезами место то святое, где лежало тело Господа нашего Иисуса Христа, вышел из Гроба Святого с радостью великою и пошел в свою келью.
Заутра же в Великую суботу въ 6 час дне сбираются вси людие пред церковь Святаго Въскресениа — бесщисленое множьство народа, от всѣх странъ пришелци и тоземци: и от Вавилона, и от Египьта, и от всѣх конець земли. Ту ся сбирають во тъ день несказанно множьство. И наполнятся вся та мѣста людий около церкви и около Распятиа Христова; и велика тѣснота и томление лютѣ людемъ ту бываеть; мнози бо человѣци ту задыхаются от тѣсноты людий бещисленных. И ти людие вси стоятъ съ свѣщами не вожженами и ждуть отврьзениа дверий церковных. Внутрь же церкви тогда токмо попове едини суть. И ждуть попове и вси людие, дондеже прииде князь съ дружиною; и тогда бывает отврьзение дверемъ церковным, и входять людие въ церковь в тѣснотѣ велицѣ и въ гнетении, и наполняють церковь ту. И полати вси полны будуть, не могуть бо ся вмѣстити вси людие въ церковь ту, но ту стоять внѣ церкви людие мнози зѣло около Голгофы и около Краниева мѣста и дотуда, идеже кресты налѣзени; и все то полно будеть людий бе-щисла много множьство. И ти людие вси въ церкви и внѣ церкве иного не глаголють ничтоже, но токмо «Господи, помилуй!» зовут неослабно и вопиють силно, яко тутнати и гремѣти всему мѣсту тому от вопля людий тѣх. И ту источници слезам проливаются от вѣрных людий. Аще бо кто окаменено сердце имат, но тогда можеть прослезити. Всякъ бо человѣкъ зазрит в себѣ тогда, и поминаеть грѣхи своя, и глаголеть в собѣ всякъ человѣкъ: «Еда моих дѣля грѣхов не снидет свѣт святый?» И тако стоать вси вѣрнии людие слезни и скрушенным сердцемъ. И тъ самъ князь Балъдвинъ стоитъ съ страхом и смирениемъ великим, источници проливаются чюдно от очию его. Такоже и дружина его около его стоятъ прямо Гробу, близь олтаря великаго, вси бо сии стоят съ смѣрением.	Назавтра же, в Великую субботу в шестой час дня собираются все люди перед церковью Святого Воскресения — бесчисленное множество народа, жители той земли и пришельцы из всех стран: и из Вавилона, и из Египта, и со всех концов земли. Собирается там в тот день несказанное множество. И наполняются людьми все те места около церкви и около Распятия Христова; и великая теснота и давка жестокая среди людей там бывает, так что многие люди тогда задыхаются от тесноты народа бесчисленного. И те люди все стоят со свечами незажженными и ждут открытия церковных дверей. Внутри же церкви тогда одни только попы находятся. И ждут попы и все люди, пока придет князь с дружиной; и тогда бывает открытие дверей церковных, и входят люди в церковь в тесноте великой и в давке, и наполняют церковь ту и хоры. Всюду делается полно, ибо не могут поместиться все люди в ту церковь, но остается очень много людей вне церкви около Голгофы и около Крайнева места, и вплоть до того места, где были найдены кресты, и все то делается полно бесчисленно многим множеством людей. И те люди все в церкви и вне церкви ничего другого не говорят, только: «Господи, помилуй!» взывают неослабно и кричат громко, так что гудит и гремит все то место от вопля тех людей. И тут ручьями проливаются слезы у верных людей. Даже с каменным сердцем человек может тогда прослезиться. Ибо каждый заглядывает тогда в себя, и вспоминает свои грехи, и говорит каждый в себе: «Неужели из-за моих грехов не сойдет святой свет?» И так стоят все верные люди в слезах с сокрушенным сердцем. И сам тот князь Балдуин стоит со страхом и смирением великим, и ручьи чудесно текут из очей его. Также и дружина его стоит около него напротив Гроба, вблизи алтаря большого; и все они стоят со смирением.
