Слово нѣкоего калугера о чь<тении> книгъ[1]	Слово некоего старца о чтении книг
Бе-съвѣта не сътвори ничьсоже, и егда сътвориши — не раскай ся.	Без совета ничего не делай, а когда совершишь — не раскайся.
Не съвѣщай съ подъзираюштиими тя, и отъ искушяюштиихъ тя съкрый съвѣтъ.	Не советуйся с недоброжелателем, а от искушающих тебя утаи намерение.
Не съвѣштавай съ страшивъмъ о брани, съ купьцьмь о приложеньи и съ купуюштиими о купли, и съ завидьливъмь о похвалении, и съ несмилостивыимь о помилованьи, и съ рабъмь лѣнивъмь о мънозѣ дѣланьи, — не наложи на сия о всякомь съвѣштяньи.	Не советуйся с трусливым о рати, с купцом о прибыли и с покупателем о купле, и с завистливым о похвале, и со злыми о милосердии, и с рабом ленивым о хорошей работе, — и даже не приступай к таким ни за каким советом.
Съ мужьмь благовѣрьномь буди, егоже аште познаеши съблудаюшта заповѣди Господня: и аште съгрѣшиши — поболить съ тобою, и съвѣта сьрдьчьнааго поставить.	Пребывай с благоверным мужем, если узнаешь, что он соблюдает Божьи заповеди: согрешишь — он тебе сострадает, сердечным советом поможет.
Есть мужь съмысльнъ и многомъ казатель, и своей души есть неклучимъ.	Бывает, разумный муж учитель другим, однако о душе своей не заботится.
И есть чловѣкъ мудръ своей души, и плодъ разума его въ устѣхъ вѣрьнъ.	Но бывает другой человек, для души своей мудр, и надежен плод разума в устах его.
Мужь мудръ люди своя накажеть.	Мудрый муж наставит людей своих.
О мьрьтвьцихъ. Чядо, надъ мрьтвьцьмь источи сльзы: и якоже зълѣ стражя, начьни плачь, и якоже достоить съкрый тѣло его, и не прѣзьри погребения его.	О мертвых. Чадо, слезы свои источи над мертвым: возрыдай, точно в тяжком страдании и, как положено, тело его накрой, и не пренебреги его погребением.
Горькъ сътвори плачь и рыдание дьнь единъ или дъва хуления ради: отъ печяли бо съмьрть бываеть, и печаль сьрдьчьная съломить крѣпость.	Горький плач начинай и рыдай день иль два, чтобы избегнуть хулы: ведь от горести смерть наступает, и сердечное горе сломит твердость <души>.
Помяни уставъ, яко и сице твой: «Мьнѣ — заутра, а тебѣ — дьньсъ».	Вспомни закон, он таков: «Мне — завтра, тебе — сегодня».
Въспомяни ся о немь въ исходѣ душя его и утѣши ся, въ печяли бо и въ плачи не сътвориши ползя ему никоеяже.	Подумай о нем при исходе души его и утешься, ибо печалью и скорбью ему не поможешь.
Сьрдьце свое дажь утрьневати къ Господу, сътворьшууму тя, и прѣдъ Вышьниимь помоли ся, и отъврьзи уста своя на молитву; и о грѣсѣхъ своихъ помоли ся, и убога помилуй.	Сердце твое утром пусть устремляется к Господу, тебя сотворившему, перед Вышним молись, отверзая уста свои на молитву; и о грехах своих помолись, и помоги убогому.
Печаль велия испьрва съзъдана бысть вьсякому чловѣку.	Печаль великая от века людям была дана.
Имѣние неправьдьныихъ яко рѣка исхънеть.	Именье неправедных точно ручей пересохнет.
Чяда грѣшьныихъ мрьзъка будуть живуштя съ притъчями нечьстивыихъ.	Чада грешников в скверне пребудут, живя советами нечестивых.
Чядъ грѣшьныихъ наслѣдие погынеть и съ сѣменьмь ихъ будеть поношение.	Погибнут потомки чад грешников, позор будет с семенем их.
О отьци нечьстивѣ зазьрять чяда, яко его ради приемлють поношение. Чада грѣшьныихъ не укоренять ся.	Укоряют детей за отца нечестивого, за него примут они позор. Дети грешников не пустят корней.
О чьсти родитьлъ. Господь прославилъ отьця о чядѣхъ, и судъ матерьнь утвьрдилъ есть о чядѣхъ.	О почитании родителей. Восславил Господь отца за детей его, и суд <правый> матери основал за детей ее.
Чьтый отьця оцѣсти грѣхы, и якоже богатяй ся прославить матерь свою.	Чтущий отца искупил грехи, и, обогащаясь, прославит мать свою.
Чьтый отьця възвеселить ся о чядѣхъ, и въ дьнь мольбы своея послушянъ будеть.	Чтущий отца будет счастлив в чадах, и в час молитвы своей он будет услышан.
Прославляяй отьця длъгы дьни сътворить, и послушяяй Господа покоить матерь свою, и ту же владыкама поработаеть ражьшима его: дѣлъмь и словъмь чьти отьца своего, да наидеть ти благословление отъ него, благословление бо отьче утвьрьжяеть домы чядомъ, клятва же матерьня искореняеть до основания.	Прославляющий отца получит долгую жизнь, и внимающий Господу упокоит матерь свою, и как владыкам послужит родившим его: делом и словом чти отца своего, чтоб получить благословение, ибо отчее благословение укрепляет чадам дома, а проклятие матери разрушает их до основания.
Не слави ся въ бештьстьи отьця своего, нѣсть бо ти слава къ бештьстьи, нъ слава чловѣку отъ чьсти отьця своего, и поношение чадомъ мати въ беславьи.	Не хвались бесчестьем отца своего, ибо нет похвалы от бесчестья; похвала человеку по чести отца его и позор детям — мать в бесславии.
Чадо, заступи въ старость отьця своего, и не оскърби его въ животѣ его, и аште изумляеть ся — то не зазри емь и не укори его вьсею крѣпостью своею.	Чадо, отцу помоги в его старости и не огорчай его при его жизни, а если теряет разум — не попрекай и не укоряй его в силе твоей.
Милостыни бо отьчя не забъвена бываеть — и въ грѣхъ мѣсто привъзиждеть ти ся, и в дьнь печяли твоея въспомянеть ти ся, яко угъ на мразъ, тако растають ся грѣси твои.	Благодеянья отца незабываемы — против грехов укрепят тебя, и в день печали твоей напомнят тебе о себе, и, как жар на морозе, так растают грехи твои.
Коль хульнъ оставлий отьця своего и проклятъ Богьмь раздражаяй матерь свою.	Сколь бесславен забывший отца своего и проклят Богом огорчающий мать свою.
Чядо, лѣта своя съ кротостию прѣпровожяй — и чловѣкомъ възлюбленъ будеши.	Чадо, годы свои проводи в кротости — и возлюбят тебя люди.
<...>	<...>
Огнь поляшть вода угасить, а милостыни оцѣстить грѣхы.	Пламя огня угасит вода, а милостыня искупит грехи.
Чядо, жита ништааго не лиши и не мини очью просьливу.	Чадо, не лишай нищих хлеба и не минуй очей умоляющих.
Душя алчушта не оскърби, и не разгнѣвай мужя въ нищетѣ его.	Души алчущей не оскорби, не обидь человека в бедности его.
Сьрьдця разгнѣвана не прѣвъзмути и не мимо неси даяния трѣбуюштааго.	Сердца обиженного не раздражай, не пронеси подаяния мимо нуждающихся.
Раба скърбяштя не отърѣй и не отъврати лиця своего отъ ништа.	Раба скорбящего не отгоняй и не отврати лица своего от нищего.
И отрѣбуюштааго не отъврати очью.	И от просящего у тебя не отводи очей.
Не дажь мѣста чловѣку кляти тя: кльнуштюуму бо тя въ горести душя его сушти — мольбу его услышить Сътворивый его.	Не дай повода человеку проклинать тебя: если кто клянет тебя в горести души своей, услышит мольбу его Сотворивший его.
<…>	<...>
Прѣмудрости похвала	Похвала премудрости
Прѣмудрость похвалить душю свою и посрѣдѣ людий своихъ похвалить ся и въ цьркъви вышьняаго уста своя отъвьрьзеть.	Премудрость восхвалит душу свою и посреди людей своих похвалится, и в церкви Всевышнего уста свои отверзет.
<...>	<...>
<Мудрость> трьми украсихъ ся и есмь красьна: прѣдъ Богомь и чловѣкы; лубъвь ближьнихъ и мужя, на селѣ тяжяштя; три же норовы възненавидѣ душя моя, и зѣло ми мьрзить животъ ихъ: убога хупава, и богата лъжива, и старца, умаляюштя ся разумъмь своимь — егоже въ уности не събьралъ еси, то како можеши обрѣсти въ старости своей?	Мудрость тремя украсилась делами и тем прекрасна: миром между людьми и Богом, любовью между близкими, и пахарем, что трудится в поле; и три человека душе моей ненавистны, и омерзительна жизнь их: бедного гордого, и богатого лживого, и старца, ослабшего разумом, — ведь чего не собрал ты в юности, как сможешь то обрести ты в старости?
<...>	<...>
Святого Василия, како подобаеть чловѣку быти[6]	Святого Василия, каким человеку следует быть
Лѣпо есть чловѣку имѣти паче вьсего жития — да не прилежить имѣньи зѣло, нъ тѣлеси въздьржяние, уДобрение норову, гласу умиление и удобрение, ѣдение и питие без говора съ удьржяниемь.	Хорошо человеку, и лучше всего — в жизни не слишком предаваться богатству, но соблюдать воздержание телу, украшение нраву, голосу ласковость и доброту, есть и пить с воздержаньем и молча.
Прѣдъ старьци — мълчяние, прѣдъ мудрыими — послушяние, съ тъчьныими любъвь имѣти, съ мьньшиими — лубъвьное съвѣщание.	Пред старцами — молчание, пред мудрыми — послушание, с равными дружбу иметь, с младшими — дружеское согласие.
Отъ плътьскыихъ и любосластьнынхъ вештий бѣгати, мало глаголати, а множѣе разумѣвати, не дьрзу быти словъмь, ни прѣрѣковати въ людьхъ.	Плотских сладострастных дел избегать, меньше говорить да больше понимать, не дерзить словами, не перечить людям.
Не скоро въ смѣхъ въпадати, соромяживу быти, долу очи имѣти, а не горѣ, не противу отъвѣщавати.	Не вдруг рассыпаться смехом, сохраняя стыдливость, очи долу держать, а не ввысь, не спорить.
Послушьливу быти до съмьрти, тружяти ся до съмьрти, поминати присно страшьное и въторое пришьствие и дьнь съмьртьный.	Быть до смерти послушным, трудиться до смерти, всегда поминая ужасное — второе пришествие и день смерти.
О надежди радовати ся, молити ся непрѣстаньно, при вьсемь Бога хвалити.	Радоваться в надежде, непрестанно молиться, Бога благодарить за все.
Въ скърбьхъ тьрпѣти, къ всѣмъ съмѣрену быти, величяния бѣгати, говѣину быти.	В скорбях терпеть, со всеми смиренным быть, надменности избегать, пребывать в благоговении.
Блюсти сьрдьце отъ помыслъ зълыихъ, събирати имѣние на небесьхъ, законъ хоронити, любити Господа вьсѣмь сьрдьцьмь и ближьняаго, яко самъ ся.	Сердце хранить от помыслов злых, собирать богатство на небесах, соблюдать закон, возлюбить всем сердцем и Господа, и ближнего, как самого себя.
И самому ся испытати о помыслѣхъ и о дѣлѣхъ по вся дьни.	И самому вопрошать себя о помыслах и о делах каждый день.
Не оплитати ся лихыми рѣчьми и не искати жития лѣнивыихъ, нъ тъкъмо подражяти я святыихъ отьць.	Не опутываться дурными словами, не подражать житию ленивых, но следовать жизни святых отцов.
Радовати ся съ исправльшими доброноровие и не завидѣти, съ стражуштими страдати и съ плачюштиими зѣло плакати ся.	Радоваться с достигшими добронравия и никому не завидовать, со страждущими страдать и с плачущими рыдать.
Осужену быти неже осудити, ниже поносити обраштяюшту ся отъ грѣхъ.	Лучше быть осужденным, чем осуждать, тем более не порицать спасающегося от грехов.
Николиже себе правьдьна творити, нъ грѣшьника себе имѣти прѣдъ Богьмь и чловѣкы.	Никогда за праведника не выдавать себя, признавая себя грешником пред Богом и перед людьми.
Учити ненаказаныя, увѣштати малодушьныя, служити больньшъ, ногы святыихъ умывати.	Поучать неведающих, ободрять малодушных, служить больным, омы-вать ноги святым.
Страньныихъ и братолубьи прилежяти, съ единовѣрьныими миръ имѣти.	О странниках братски заботиться, с единоверными мир иметь.
Еретикъ чловѣкъ отъвраштяти ся, книгы прѣданыя почитати, а въ съкръвеныя отинудь не приницяти.	Еретиков отвращаться, книги канона почитать, а в апокрифы не вникать никогда.
О Отьци и Сынѣ и Святѣмь Дусѣ не пытати, нъ единосуштьну святую Троицу съ дрьзновениемь глаголати.	Об Отце и Сыне и Святом Духе ничего не выведывать, но единосущую святую Троицу смело призывать.
Крьштяти ся есть лѣпо, якоже прияхомъ и не кляти ся отинудь, и не даяти сребра своего въ лихву, ни иного ничьсоже на умножение пиштя.	Креститься следует, как это принято, и никогда не клясться, не давать серебра своего за процент, и ничего иного для преумножения пищи.
Бегай пияньства и отъ печалии жития сего, не бесѣдуй луками отинудь ни о комь же глаголати.	Избегай пьянства и скорбей этой жизни, никогда ни о ком не говори за спиной его.
И никакоже послушяти клеветания, нъ вьсе съ испытаниемь, никомуже скоро яти вѣры.	И никогда не прислушиваться к клевете, но все самому проверить и никому на слово не верить.
Не томи ся гнѣвъмь, не быти дьржиму похотьу, не без ума гнѣвати ся на ближьняго.	Не распаляй себя гневом, избавляясь от такого желания, без нужды не гневись на ближнего.
Сълньце да не заидеть о гнѣвѣ вашемь. Не дьржяти гнѣва ни на когоже, не въздати зъла на зло, ни клеветы за клевету.	Ваша ссора — лишь до захода солнца. Ни гнева нельзя держать ни на кого, ни воздавать злом за зло, ни клеветою за клевету.
Нъ паче похулену быти, неже хулити, обидиму быти, а не обидѣти, отъштетити ся, а не отъштетити.	Но лучше быть оскорбленным, чем оскорбить, обиженным быть, чем обидеть, лишенным, чем лишать.
Паче же вьсего достоить чловѣку въздьржяти ся отъ бесѣдъ женьскыихъ и срамьныихъ словесъ, медъ бо и жены отъвраштяють и съмысльныя.	И больше всего человеку следует воздержаться от разговоров с женщиной и от бесстыдных слов, ибо вино и женщины совращают и мудрых.
Въ заповѣди не сътужити ся, нъ мьзды и похвалы отъ Него чяяти и вѣчьныя жизни желати и прияти.	Заповедями не пренебрегать, но надеяться на награду и славу от Бога, вечной жизни желать — и принять ее.
Имѣй Бога прѣдъ очима въину: яко сыну отъ вьсего сьрдьця и крѣпости и разума лубити Бога, и яко рабу — бояти ся, сумьнѣти и служити Ему.	Всегда пред очами держи Господа: как сыну — любить его всем сердцем и твердостью разума, и как рабу — страшиться его, трепетать и служить ему.
Страхъмь и трепетъмь спасение себѣ съдѣвати, духъмь горѣти и тешти не лѣняшти ся, обълъчену быти въ оружие Святааго Духа.	Страхом и трепетом спасенье свое добывать, духом гореть и стремиться без лени стать во всеоружии Святого Духа.
И бороти ся съ врагъмь въ изнеможени плъти и въ ништетѣ душя, и вьсе повелѣние творити, и непотрѣбьна себе глаголати, и благодарити Бога.	И сражаться с бесом-врагом до погибели плоти, до изнеможения духа, все нужное исполняя и ничего не прося для себя, благодарить за все Бога.
И ничьсоже съ завистью творити, и чловѣкоугождения бѣгай, зане Богъ расыпа кости чловѣкоугодьникъ, и не хвалити ся отинудь.	И никому не завидовать, избегая лести — ведь Бог рассыпал кости льстецов, и ни в коем случае не похваляться.
Ни похвалы себѣ глаголати, ни иному хваляшту послушяти, вътайнѣ вьсе творити, и не на видѣние чловѣкомъ творити, нъ тъкмо отъ Бога хвалы и милости просити.	Ни сам себе не возноси хвалы, ни к похвалам не прислушивайся, ибо следует все делать втайне, не на глазах у людей, и только от Бога просить похвалы и милости.
Помышляти прѣшьствие отъсуду, приготованая благая правьдьныимъ, такоже уготованый огнь дияволу и ангеломъ его.	Помнить об отшествии отсюда, о приготовленных благах для праведников, как и об огне, готовом для дьявола и его бесов.
По вьсему и апостольское слово помьнѣти, яко не достоины страсти сего врѣмене противу будущимъ глаголати ся въ насъ, и съ Давыдъмь глаголати: «Храняштиимъ заповѣди Его — въздание много», и вѣньци мнози — правьдьныимъ, вѣчьнии крови, жизнь бес коньця, радость неизглаголанная отъ Отьця и Сына и Святого Духа.	Слово апостольское припомнить о том, что страсти жизни земной не достойны тех, которые явятся в будущем, и повторить за Давидом: «Соблюдающим заповеди Его — великое воздаяние», и венцы многие праведникам, вечные кущи и жизнь бесконечная, радость неизреченная от Отца и Сына и Святого Духа.
Съ цьсари и патриархы, съ пророкы и апостолы и мученикы, и съ вьсѣми угождьшиими съ нимиже обрѣсти потъштим ся о Христѣ Исусѣ, Господи нашемь, Емуже славы ныня и присно и въ вѣкы вѣкомъ.	С царями и патриархами, с пророками и апостолами, с мучениками и со всеми, им угодившими, — с ними постараемся мы обрести Христа Иисуса Господа нашего, которому слава ныне и присно и во веки веков.
Ксенофонта, еже глагола къ сынома своима[7]	Из Ксенофонта, который сказал двум сыновьям своим
Азъ, чядѣ, реку вама, чловѣчя жития отити хоштю. Вѣста бо, како въ житии семь жихъ без лукы, како отъ вьсѣхъ чьстьнъ бѣхъ и лубимъ не сана ради велика, нъ норовъмь великъмь.	Я, чада, вам говорю, кончая жизнь человеческую. Оба вы знаете, что прожил я жизнь нелукаво, всеми почтен и всеми любим не ради сана высокого, но из-за хорошего нрава.
Не укорихъ никогоже, ни вередихъ и никогоже не оклеветахъ, ни завидѣхъ никомуже.	Не укорил никого, не навредил никому, никого не оклеветал и никому не завидовал я.
Ни разгнѣвахъ ся ни на когоже, ни на мала, ни на велика.	Ни на кого не разгневался — ни на малого, ни на великого.
Не оставихъ цьркъве Божия вечеръ, ни заутра, ни до полудьне.	Службы церковной не пропускал: ни вечерни, ни заутрени, ни литургии.
Не прѣзьрѣхъ ништиихъ, ни оставихъ страньна, и печальна не прѣзьрѣхъ никъгъда же, и иже въ тьмьницахъ заклучении, потрѣбьная имъ даяхъ, и иже въ плѣньницѣхъ — избавихъ.	Не отвергал я нищих, не оставил странников, заботился всегда о печалующихся и тех, кто сидит в темницах, все нужное им доставляя, а тех, кто в плену, — избавлял.
Не помыслихъ на доброту чужю, не познахъ жены другыя, развѣ матере ваю, и та дондеже ва роди, и потомь еште не познахъ ея, нъ съвѣштяховѣ ся чистою съвѣстью тѣлесьною, и о Господѣ мудрѣ съхраниховѣ ся по православьнѣй всякои вѣрѣ; тако сътворихъ до съмрьтьнааго дьне.	Не помыслил я на красоту чужую, не познал другой женщины, кроме матери вашей, да и ту, пока родила она вас, а потом уж ее не познал я, но советовались мы с ней обо всем с чистой совестью телесно и по Господней мудрости в чистоте соблюдались согласно православной вере; так поступал я до смертного часа.
Тако и вы живѣта, чядѣ мои, да и ваю Богъ ублажить и длъголѣтьна явить и сътворить.	Так живите и вы, мои чада, тогда и вас наградит Господь и даст вам долгую жизнь.
Убогыихъ посѣштяйта, въдовицѣ заштиштайта, немоштьныя милуйта и осужяемыя бес правьды изьмѣта, миръ имѣита съ всѣми.	Посещайте бедных, вдовиц защищайте, немощных милуйте и осужденных невинно освободите, живите со всеми в мире.
Паче же вьсѣхъ, иже въ пустыни и въ печерахъ, и въ пропастьхъ земльныихъ добро творита.	Но больше всего — с теми, кто в пустыни и в пещерах, и в ущельях земных — творите добро им.
Поминайта манастыря, чьрноризьць стыдитася и чьтѣта и милосрьдуйта.	Помните о монастырях, слушайтесь и почитайте черноризцев, милость им даруя.
Матери же ваю чьсть отъдайта, и вьсе добро сътворита ей, да Господа узьрита радуюштя ся, и о томь веселита ся въ вѣкы.	Мать свою почитайте и поступайте по-доброму с ней, тогда узрите Господа в радости и возвеселитесь о том во веки.
Вьсе, елико имата златъмь и сребръмь и ризами, неимуштиимъ подайта, и въ работѣ суштяя, акы своя чяда лубита, и уныя милуйта, и старыя свободы съподобита, пищу имъ до съмртьти дающя, и съпроста реку: еже мя видѣста творяштя — и вы творита, да спасета ся и съподобита ся святыихъ.	Все, что имеете в золоте, серебром и одеждами, отдайте неимущим, и тех, кто в рабстве, как детей своих возлюбите — и юных помилуйте, старых — освободите, пищу до смерти давая им, да просто скажу: видели вы, как я поступал, то делайте также и вы — и спасетесь и уподобитесь святым.
Матере не забывайта, волу ея творита и послушяйта съ страхъмь Господьньмь.	Матери — не забывайте, волю ее исполняйте, ей повинуйтесь в страхе Господнем.
Вѣдѣ бо, яко дѣло Господьне дѣлаета, заповѣди Господьня хранита, и Богъ мира сего буди съ вама. Аминь.	Знаю я, что Господни заповеди исполняете, совершая его дело, и пусть будет с вами Бог мира сего. Аминь.
<…>	<...>
О милостивѣмь Созоменѣ[8] и о томь, како даяй нищему 100-рицею прииме	О милостивом Созомене и о том, как подающий нищему сторицею получил
Бѣ нѣкыи чловѣкъ, живыи въ Иерусалимѣ, Созоменъ именьмь. Тъ идый единою сквозѣ градъ, узьрѣ нища, нага и печяльна; и съвлъкъ ся, дасть ему одеждю свою и иде въ домъ свой. И дьнь прѣклонилъ ся бѣ на отъвечерие.	Жил в Иерусалиме один человек по имени Созомен. Однажды шел он по городу и увидел нищего, нагого и печального; сняв с себя, отдал ему одежду свою и пошел в дом свой. А день склонялся уже к вечеру.
И легъ; мало усънувъ, видѣ въ сънѣ, яко обрѣте ся въ дворьци прѣчюдьнѣ, и въ немь бяше свѣтъ безмѣрьный чисть и цвѣтове мънози различьни, и садове вьсяции.	И лег; немного поспав, увидел во сне, что находится в прекрасном дворце, а в нем ослепительно яркий свет и много различных цветов, и растения всякие.
И видѣхъ же ины ограды, яже бяаху обрасли отъ горы до долу плоды, добровоньныими и красьныими, и вѣтвие прѣклонило ся бѣ до земля, другъ друга добрѣе.	И тут же увидел другие сады, поросшие сверху донизу плодами, благовонными и прекрасными, а ветви склонились до земли, одна прекрасней другой.
Пътиця же многообразьны сѣдяху вьрху ихъ, пѣснь поюштя сладъку, друга къ друзѣ прикланяюшти ся, млъчяния не имуште.	И самые разные птицы сидели на их вершинах, распевая сладостную песню, друг друга к себе призывая в неумолчном пении.
Яко же гласу слышяну быти отъ земля до небесе, садове же колѣбааху ся, стояште въ славѣ велицѣ, источьници же течяаху, яко и дуга въ красу стояшти.	Так что слышался голос от земли до небес, и колыхались деревья, стоящие в славе великой, и протекали источники, и радуга поднималась во всей красе.
Си же ему видяшту: приде къ нему нѣкый уношя, красьнъ зѣло, и глагола ему: «Поиде въслѣдъ мене». Онъ же иде въслѣдъ его, и придосте къ стоборию, золотъмь покръвену, и полаты зѣло славьны и красьны. И зьряштю Созомену тамо, и се изидошя ис полатъ тѣхъ мужи крилати, свьтяште ся, яко и сълньце, носяште ларѣ 4-ри, о коемьжьдо лари служяште 4.	И вот он видит: подошел к нему юноша некий, прекрасный, и сказал ему: «Ступай за мною». И пошел он вослед ему, и вошли они оба в колонный зал, весь покрытый золотом, с прекрасными в нем палатами славными. И пока озирался там Созомен, выступили вдруг из палат тех мужи крылатые, солнцем блистающие, неся четыре ларца, и у каждого ларца их четверо.
Егда же прѣчюдьныя ты двьри миновааху анъгели, разумѣ Созоменъ, яко къ нему бяху идуште, и егда приидоша къ стоборию оному и противу Созомену сташя.	Когда же пречудные эти двери уже миновали ангелы, постиг Созомен, что это к нему они прибдижаются, ибо уже вошли в колонны зала и стали напротив Созомена.
Съньмъше же ларѣ съ шии своихъ и поставльше ѣ, жьдааху нѣкоего вельможѣ прити къ нимъ. И видѣ Созоменъ: и се мужь, красьнъ зѣло и доброобразьнъ вельми, излѣзъ ис полатѣхъ, прииде къ ангеломъ, носяштиимъ ларѣ, и глагола имъ:	И, опустив с плеч ларцы и поставив их, стали ждать кого-то, видимо старшего, кто должен еще прийти. И увидел Созомен: вот муж, прекрасный и в светлом образе, вышел из тех же палат, подошел к ангелам, подносившим ларцы, и сказал им:
«Отъкрыите ларѣ и покажѣте я чловѣку оному, чьто ему хранять свитъ за едину свиту, зане помилова нагааго оньсицю».	«Откройте ларцы, покажите их человеку тому, какие для него хранятся одежды — за одну ту одежду, которою одарил он нагого».
И ту абие отъкрышя единъ отъ златыхъ онѣхъ ларевъ, и начашя искладати — срачицѣ и свиты цьсарьскыя; и оскрилы красьны и различьны видѣниемь, и простираху прѣдъ нимь, глаголуште: «Воле, господи Созомени, угодьна ли ти суть прѣдъ очима?»	И тотчас открыли один из этих ларцев золотых, и стали выкладывать — сорочки и одежды царские, и прекрасные длинные одежды, различные видом, и расстилали пред ним, говоря: «Вот господин Созомен, нравится ли тебе все то, что перед твоими глазами?»
Онъ же глаголааше: «Нѣсмь достоинъ на стѣнь свитъ сихъ зьрѣти!» Кажюштемъ же имъ свѣтьлыя и пьстрыя и златыя ризы, и възиде число ихъ до тысяштя.	Он отвечал: «Недостоин я и на тень от одежд этих глядеть!» Показали ему и белые, и цветные, и золотые ризы, и дошло их число до тысячи.
Егдаже показашя ему, еже глаголеть, «100-рицею прииметь и животъ вѣчьный наслѣдуеть — за едину свиту», глагола ему ангелъ: «Тебѣ глаголю, Созомене, се колико ти уготовахъ благыихъ за едину свиту, еже видѣ мя нага и умилосрьди ся и облѣче мя — иди убо и твори такожде, и въздасть ти ся 100-рицею!»	И когда показали ему, согласно сказанному «Сторицею получит и вечную жизнь наследует за единую одежду», — сказал ему ангел: «Тебе говорю, Созомен. Смотри, сколько я приготовил тебе за единую свитку твою, за то, что увидел меня нагого, и пожалел, и меня одел — иди, и поступай так, и воздастся тебе сторицею!»
Се слышавъ, Созоменъ глагола ему, страхъмь одьрьжимь и радостью, глагола ему: «Да тако ли есть, иже милостыню творять убогыим?» — И глагола ему: «Ей! всякъ бо, облачяяй убогааго, Христа облачить, и всякъ съвлачяя, Христа съвлачить. Или: накърьмляя, Христа накръмить и прииметь.	Слышав это, сказал Созомен ему в страхе, радостью одержимый: «Да так ли бываёт тем, кто милостыню подает убогим?» — И ответил ему: «Ей! ибо всякий, одевший убогого, Христа облачит, и всякий, его раздевший, с Христа совлечет. Или: его накормивший, Христа накормит и примет.
Се же ти заповѣдаю: не раскай ся николиже о милостыни, ни поноси ништю, яко далъ ему еси чьто, еда въ мьзды мѣсто сугубу тъштету въсприимеши, вьсякъ бо даяй милостыню и раскаявъ ся и поносивъ, мьзду си погубить».	И вот тебе заповедаю: никогда не жалей о милостыне, нищего не порицай за то, что ты дал ему, иначе вместо награды сугубый убыток потерпишь, ибо всякий, подавший милостыню и о ней пожалевший, награды лишится».
И се слышявъ, Созоменъ въспрянувъ и дивляаше ся, чюдя ся видѣнию и помышляаше, глаголя: «Аште си тако, то и другую дамь свиту нищиимъ». И въ другую ночь видѣ тъ же сънъ.	Услышав все это, Созомен очнулся и, удивляясь чудесному видению, размышлял, говоря: «Если так это, то и вторую отдам я одежду нищим». И на другую ночь видел от тот же сон.
И бысть милостивъ зѣло на убогыя, яко слышяти вьсѣмъ коньцемъ земля милостивое его житие и штедроты, яже на всякомъ чловѣцѣ, и бысть угодьнъ Богу и чловѣкомъ.	И был он очень добр к нищим, так что прослышали все края земли о милостивом его житии и щедрости ко всякому человеку, и был он угоден Богу и людям.
