ТРЕТЬЯГО СЛОВА СУТЬ СТИХОВЕ ВСИ 1654	ВСЕГО В ТРЕТЬЕМ СЛОВЕ 1654 СТИХА
Реку ти что и ино — от произносимых намъ от неприемлющих Слово. Ничтоже глаголють бездѣлно от сущих в телеси удовъ естьство створило есть. Ова бо животнаго вину и силу в насъ имат, ихже кромѣ стояти иже в плоти животу невзможно есть; рекше сердце, ятро, мозгъ главный, душникъ, утроба и прочая вся утробная. Ова убо чювстьвеному движенью отдѣлена быша, ова же дѣйства суть, ина же к приятию пребывающих художнѣ имат. Аще убо в тѣх же еже потом житье намъ будет, ничтому же преставление бывает. Аще ли истинно есть, — якоже убо истинно есть — еже ни браку жителствовати в житии же по въскресении повелѣвающее, ниже снѣдью питаем тогдашнему сдержатися животу, кая будет потреба удом телесным? Не к тому тѣмь, ихже ради нынѣ суть уди, в животѣ оном уповаемом. Аще бо яже брака ради къ браку суть, егда то не будет, ничтоже от сущих к нему требуем. Сице и к дѣлу руцѣ, и к течению нозѣ, и к приятию брашному уста, и къ пищнѣй пищи зубы, и к отсланию утроба, и къ отложению непотребствуемых исходнии проходи. Егда убо она не будеть, яже тѣх ради бываемае, како или коего ради будет? Якоже нужи быти? Аще убо не суть о тѣлѣ, яже ничсому же есть к жизни оной сдѣловати хотящая, не быти ни еже нынѣ исполняющим наше тѣло. Въ обоих бо жизнь есть. И не ктому убо что таковое въскресение именует: коемуждо бо от удовъ заеже во ономъ жизни непотребьства не съвъстающимъ телеси.	Скажу тебе и нечто иное — из того, что возражают нам неприемлющие Слово. Природа, говорят они, ничего не сотворила ненужным из имеющихся в теле членов. Они содержат в нас основу и силу процесса жизни, и без которых жизнь плоти поддерживаться не может; таковы сердце, печень, головной мозг, легкие, желудок и все прочие внутренности. Одни из них призваны обслуживать чувственное движение, другие — практическую деятельность, третьи — подобающее восприятие необходимого. Если в том же и следующая наша жизнь состоять будет, то ни к чему перемена. А если истинно то, — а это истинно, — что и брак по воскресении не будет существовать, будучи изгнан за пределы жизни, и не пищей и питием станет тогда поддерживаться жизнь, какая же тогда будет нужда в телесных членах? Ни к чему в той ожидаемой жизни органы, благодаря которым сейчас человек существует. Если то, что нужно для брака, существует ради брака, то когда его не будет, ничего из нужного для него нам не потребуется. Так же и руки — для работы, ноги — для ходьбы, рот — для приема пищи, зубы — для ее пережевывания, утроба — для пищеварения, выводящие проходы — для извержения ставшего бесполезным. Когда того не будет, тогда существующее ради того, — для чего? На что оно нужно? Как сейчас у тела нет ничего из того, что будет содействовать той жизни, так и там не будет того, что ныне наполняет наше тело. А и тут, и там — жизнь. Значит, не стоит таковое называть воскресением, ибо по причине бесполезности для той жизни каждого из органов не воскреснут с нами тела.
Аще ли всѣми сими будет дѣйствено въскрсение, суетнѣ намь и непотрѣбнѣ кь жизни оной сдѣтельствуеть Дѣйствуей вьскресение. Но убо и быти ли потребно есть вѣровати вскресению и не суетно быти? Тѣмже да внимаем Слову, яко да нам всячскыми в велѣнии подобное свершитися.	Если же и для всех них окажется действенным воскресение, то напрасным, неподходящим для той жизни сделает нам Действующий воскресение. Но тогда надо ли и веровать, что воскресение будет и что оно не напрасно? Так что давай послушаем Слово, чтобы нам во всем подобающим образом в учении усовершенствоваться.
СИЯ УБО ВПРАШАЙ, СЛЫШИ ЖЕ И ОТВѢТНе недоблествено, по глаголемѣй риторикии, еже о въскресении догматом начинание, препирателнѣ новотворьными словесы окрестъ обтекы истинну. Яко иже не велми расмотрившим истинно таиньство пострадати что по-лѣпотѣ противу слову и мьнѣти не внѣ подобающаго отводитися реченых недоумѣнием. Имат же и сице рече истинна, аще и немощно имамы от подьбных противу вѣщати слову. Но убо истинное слово о сих въ таиных премудрости скровище хранимо есть, тогда въ явление прияти хотя, внегда дѣлом въскресения таиньству научимся, егда не ктому требѣ будет намъ глаголъ къ уповаемых явлению. Но якоже в нощи пребъдѣвающим мнозѣмъ движимом словесѣмъ о солнечном сияньи, каково есть, празно творит словеса прописание явлешися точью лучьная благодать, сице всяко промысль смотрьнѣ, будущаго въскресания, прикасающися ни во чтоже показуеть, егда будет намъ въ искусѣ чаемое. Елма же потребно есть не всячьскы неистязана оставити принесеная нам спротивления, сице от сих слово всприимемъ.	Мужественно, руководствуясь так называемой риторикой, напал ты на учение о воскресении, ловко опровергающими словами кругом обойдя истину. Боюсь, как бы те, кто не слишком внимательно рассмотрели таинство истины, не пострадали как-нибудь по заслугам из-за этой речи и не были сбиты с толку высказанным недоумением. Истина же говорит, что это не так, пусть даже мы не сможем подобающим образом ответить на эту речь. Но ведь истинное об этом слово в скрытых сокровищницах премудрости сохраняется и лишь тогда явным сделается, когда мы на деле узнаем воскресения таинство, когда не нужны нам будут больше слова для разъяснения нашей надежды. И подобно тому как бодрствующим среди ночи после многих слов о солнечном сиянии, каково оно, ясным делает предмет речи только красота показавшегося луча, так и всякое гадательное суждение, будущего воскресения касающееся, ни во что обратится, когда явится нам на опыте ожидаемое. Поскольку же не следует совершенно неисследованными оставить выставленные нам возражения, мы об этом скажем так.
Помыслити же подобает первѣе, который разум есть еже о вскресении велѣния и что ради от святаго Писания речено бысть и вѣруется. Тѣмже убо якоже кто уставом нѣкым такое обоемъ пропишет, сице речем, яко: въскресение есть еже древле естьства наше то устроение. В первѣй бо жизни, и еже самъ бысть сдѣтель Богъ, ни старость бѣ, якоже подобаше, ни младенчьство, ни яже по многонравных болѣзнех страсти, ниже ино что от телесных страданий ничтоже. Ни бо лѣпо бяше таковая створити Богу. Но божествена нѣкая вещь бяше человѣчьское естьство преже дажь не во устремлении быти злаго человѣчьскому. Сия бо вся входом злобным нам совнидоша. Тѣмже ниедину нужю имѣти хощет еже кромѣ злобы житие, во иже тоя ради случившимся быти. Якоже послѣдует иже в зиму путьствующему померзати тѣло, или еже погоряще и лучи ходящему почернѣвает видѣнием, аще ли кромѣ обоих сихъ будет, избавляется всяко и почернѣния, и померзновения, — и ничьтоже благословнѣ взищет, еже о нѣкыя вины прилучающееся, винѣ не сущи, — тако и естьство наше страстно бывше, нужнѣми послѣдованми страдателной жизни принесено бысть, к бестрастному же блаженьству паки встекше, не ктому злобными бесѣдованми сприведется. Елма убо елика от бесловесныя жизни человѣчьскому примѣсишася естьству, не первѣе быша в нас — преже дажь в страсть злобы ради впаднути человѣчьскому, нужа убо есть оставлешим страсти и вся, елика с нею видима суть, оставим. Тѣмже никтоже благословнѣ в житьи ономъ яже о страсти оноя прилучьшаяся взыщет. Якоже бо аще кто, на себѣ сквернаву имѣя ризу, обнажится таковаго одѣния: не ктому отверженаго нелѣпоту на себѣ видить, тако нам, совкупльшим мертвую ону и гнусную одежю, от бесловесных кожей намъ наложную. Кожю же слыша, образъ безсловеснаго естьства разумѣвати ми мня, яже къ страсти присвоивъшеся, одѣяни быхом. И вся, елика безсловесныя кожа о нас суть, во отложении одежнѣмъ съотлагаемъ. От бесловесныя же кожа смѣшение, зачатие, рожество, скверна, доение, пища, гною извергь, еже по-малу къ свершенью ращенье, уностьство, старость, недугъ, смерть. Аще она убо на насъ не будут, како намъ яже от онѣх останут? Тѣмже суетно есть иного нѣкоего устроения в будущюю жизнь уповаемаго, заеже никако той с причащающимся к велънию воскресения. Что бо общее имат изможданье и многоплотие, истаянье и добелство, и аще что ино тлѣнному естьству телесному прилучается — противу жизни оной, яже текущаго же и мимоходящаго житийскаго пребывания очюждена есть?	Помыслить подобает, во-первых, какой смысл в догмате о воскресении и чего ради в святом Писании говорится о нем и в него веруют. Для этого, как будто кто-то его определением неким охватив, описал его, скажем так: воскресение есть восстановление нашей природы в древнем виде. Ведь в прежней жизни, каковою ее создал Бог, ни старости не было, как и подобает, ни младенчества, ни бедствий, вызываемых многообразными болезнями, ни каких-либо других телесных страданий. Нелепо ведь было бы таковое сотворить Богу. Но чем-то божественным была человеческая природа, прежде чем явилось у человека устремление ко злу. Ведь все это вместе со злом к нам пришло. Так что в лишенной зла жизни никакой нужды не будет терпеть тот, кому доведется в ней быть. Как, бывает, зимой путешественник мерзнет, а если под знойными лучами ходит, то у него темнеет кожа, а когда вне и того и другого оказывается, и согревается, и от загара избавляется, и уже никому не сыскать того, что по какой-то из этих причин получается, поскольку нет причины, — так и природа наша, став подверженной страстям, неизбежными последствиями была приведена к страдательной жизни, будучи же вновь возведена к бесстрастному блаженству, последствиям зла подверженной больше не будет. Раз того, что примесилось к человеческому естеству от бессловесной жизни, первоначально — прежде, чем в страсть по причине зла впал человек, — у нас не было, по необходимости, когда мы оставим страсть, с нею вместе мы оставим и все, что с нею связано. Так что неразумно искать в жизни оной то, что мы приобрели из-за страсти. Как если кто-нибудь, одетый в грязную одежду, снимет таковое одеяние, то в безобразии изгнанника больше себя не увидит, также и мы, — совлекши мертвое и гнусное это облачение, из кож бессловесных существ на нас наложенное. О коже слыша, мне кажется правильным разуметь природу бессловесных, в которую, предавшись страсти, мы были облечены. А все, что у нас связано с кожей бессловесных, при совлечении одежды мы вместе с ней отложим. От кожи бессловесных также — соитие, зачатие, рождение, нечистота, кормление грудью, пища, испускание семени, медленное к совершенству возрастание, юность, (зрелость), старость, болезнь, смерть. Если того, что на нас наложено, не будет, как же то, что из этого следует, будет нам оставлено? Потому тщетно ожидание иного некоего устроения в будущей жизни, так как ничего нет общего у того, что к нему относится, с учением о воскресении. Ибо что общего имеет изможденность и многоплотие, худоба и тучность, и все иное, что бывает свойственно изменчивой телесной природе, с жизнью оной, чуждой текущего и преходящего житейского пребывания?
Едино ищет точью въскресения слово — еже родитися рожением человѣку, паче же, якоже рече Еуаггелие, яко: «Родися человѣкъ в миръ».[47] Долгожителное же или скоросмертное, или смертный образъ аще сицевъ или инаковъ случится, суетно есть въскресения славу истязовати. Како бо се дамы поставу имѣти, в подобнѣ всяко есть: ниже неудобьству, ни неражденью от таковаго различья о воскресении сущю. Еже убо жити начинающее, пожити потребно есть всяко; еже посредѣ ради смерть случшемуся ему раздрѣшению, на вскресение исправлешюся, а еже како или когда разрѣшение бывает, что се къ вскресению? К другому бо разуму блюдет.	К одному только стремится учение о воскресении — породив, вырастить человека или, как говорит Евангелие, чтобы «родился человек в мир». А долгожителем или недолговечным он будет, и смерть к нему в том или ином виде придет, — напрасно вместе с учением о воскресении распытывать. Что бы мы ни предположили, все едино: ни трудности, ни легкости из-за различий в этом при воскресении не будет. Ибо жить начавшее обязательно должно пожить, а поскольку среди жизни по причине смерти приходит ему конец, при воскресении оно восстанавливается; а то, как и когда конец наступит, — что в этом для воскресения? Ведь иное имеет в виду это исследование.
Иже о семь свѣтѣ, рекше по сласти, иже в житьи, или печалуя по добрѣ ли, или по злобѣ, похвалнѣ или повинни, окаанѣ, или блаженнѣ преиде житие, — сия бо вся таковая от мѣры животныя и от вида, иже в житии обрѣтаются. И яко противу суду положившим, нужа убо будет судии страсть и проказу, и недуга, и старость, и възраст, и юность, и богатьство, и нищету испытовати: како кто, в коемждо сих бывъ, — добрѣ или злѣ отдѣленое ему житие мимотечет, и аще многых бысть приятенъ добрых или злых, и в долзѣм времени, или ниже началу кождо сих отинудь прикоснуся, в несвершенѣ съмыслѣ еже жити престав. Егда же к первому устроению человѣка воскресениемь Богъ възведет естьство, празных убо будет еже таковая глаголати и еже ради таковых спротивления мнѣти силѣ Божии и къ разуму забавлятися. Разум же ему въ скончавшагося уже в которыхждо человѣкох всего естьства нашего исполнения: овѣмъ убо абье в житьи семь от злобы очищеном, овѣмъ же по сих огню вѣчному осуженом, овѣм же равно и добраго и злаго искусъ в ныньшнем житьи не познавшемъ... в себѣ добрых, яже рече Писание, «ниже оку видѣти, ни слуху яти, ниже помыслу достиже быти».[48] Благое бо, еже выше ока, и слуха, и помысла, то убо будеть се, еже всего превыше сущее. А еже по добродѣтели или злобѣ житью различье в нынѣшнее время по сему покажется добрѣе, внегда скорѣе или коснѣйше прияти уповаемаго блаженьства. По мѣрѣ бо бывшаа комуждо злобы изравнится всяко и врачения протяжение. Врачевание же убо будет души — еже от злобы очищение. Сие кромѣ болѣзнина устроение исправитися невъзможно есть, якоже в предваршем истязано бысть.	Наслаждаясь ли в этой жизни сладостью житейской или страдая за добро или из-за злодеяния, достойно ли похвал или обвинений, преступно или блаженно провел время жизни — все это и таковое в зависимости от меры жизни и от вида того, что с ней связано, рассматривается. И когда на суд привлекут, нужно будет судье учитывать и страдание, и проказу, и недуги, и старость, и возраст, и юность, и богатство, и нищету: как кто, в чем-то из этого побывав, — достойно или дурно прошел отведенную ему жизнь, и много ли благ или несчастий получал, и в течение долгого ли времени, или даже и к началу всего этого вовсе не прикоснулся, в несовершенном возрасте с жизнью расставшись. Пустое дело — говорить и думать, что такие помехи смогут воспрепятствовать силе Божией в достижении цели, когда Бог станет к первоначальному устроению возводить, воскрешая естество человека. Ведь его цель состоит в достижении каждым человеком полноты всего нашего бытия: и теми, кто уже тут, в течение этой жизни, от зла очистился, и теми, кто после нее подлежат вечному огню, и теми, кто равным образом добра и зла искуса в нынешней жизни не познали, — (всем предлагается причастие) свойственных ему благ, каковых, как говорит Писание, «ни око не видит, ни слух не воспринимает, ни помыслами достигнуть невозможно». Ведь то добро, что выше ока, и слуха, и помысла, оно будет все превосходящим. И различие в добрых или злых делах нынешней жизни будет лучше видно по тому, как, быстрее или медленнее, воспримут люди ожидаемое блаженство. Ибо мере привившегося каждому порока точно соответствует протяженность лечения. Врачеванием же души будет от зла очищение. А это безболезненно не совершается, как прежде было показано.
Вяще же убо разумѣет спротивление лихо и неистовствоное, въ глубину приникъ апостольскыя премудрости, коринфѣном бо о семь обьявляя таинство, — таяже равно вѣщающимъ и онѣмъ к нему, яже и нынѣ от еже на велѣние въстающих къ възбранению вѣрованнымъ приносятся, — своимъ саномъ благоучения тѣх въздражая дерзость, сице глаголеть: «Речеши же ми убо, како встают мертви? Коим же тѣломъ приходят? Безумне, — рече, — ты еже сѣеши не оживет, аще не умреть. И еже сѣеши — не тѣло сущее сѣеши, но и голо зерно, аще ли случится, пшеницы или етеру прочих. Богъ же даеть ему тѣло, якоже всхотѣ, и коемуждо сѣмени свое тѣло».[49] Сдѣ убо възущати мнѣ мнится неразумѣющих своего естества мѣры и противу своей крѣпости божественую въизъстязающих силу и мнящих толико быти възможно Богу, елико вмѣщает человѣчьское постиженье. А еже выше нас сущее и Божию проходити силу. В᾿просивый бо апостола, како въстают мертви, яко невозможно суще расыпаное телесьныхъ съставъ въедино стекутся паки приити, отрицает. И пакы сему немогущю, иному же тѣлу на сочтание съставом неостанущю, сие рече по лютых от спирающихся сочьтавъ нѣкымъ послѣдованиемь, яже глагола: аще тѣло есть сочтание съставом, сим же нев'зможно есть второе собратися, которое приимут тѣло, встающе? И сие убо мнящися тѣм нѣкоею хитростною премудростью сплетено безумие именова не сматряющим в прочей твари преимущее божественыя силы, оставив высочайшая Божиих чюдес, имиже в недоумѣнье бѣ привести слышащаго, яково, что есть небесно тѣло и откуду, что же ли солнечное сияние и лунное, или же въ звѣздахъ являемо, ефирь, вздухъ, вода, земля. Но от обычных намъ и обещьнѣйшихся обличает съпротивляющихся не смотриливое. Ни земледѣлание ли тя научаеть, рече, якоже суетенъ еси иже противу своей мѣрѣ божественыя силы сматряя преимущее. Откуду сѣменемъ прерастающая телеса? Что же обладает отраслию? Не смерть ли? Аще смерть есть съставлешагося разрѣшения, сѣмя бо не приидет в прозябенье, не раздрѣшився в браздѣ и быв рѣдко и многоразботѣвше, яко примѣситися предлежащей влазѣ мастию, и тако в корень и отрасль, и не в сих пребыти, но преложитися в стебль и сущими посреде колѣнци яко нѣкыми соузы, препоясанъ въ еже мощи носити правѣм образомъ класъ, плодом отягчаем. Кдѣ убо сия на пшеници бѣша преже еже в браздѣ ея раздрушения? Но убо отинуд се есть. Аще бы не бы первѣе оно было, не бы клас былъ. Якоже убо еже о класѣ тѣло от сѣмене прозябает, Божественѣй силѣ от самого оного се любохитрьствующи и ниже всѣми то же есть сѣмени, ниже всячскы другое, сице, рече, таиньство воскресения уже тебѣ от еже в сѣменех чюдотворимых предсказуется, — яко силѣ божествнѣ в преимущи области, не точию оно раздрушившееся пакы отдающи, но тебѣ и другая велика же и добра прилагающи, имиже ти к великолѣпному естьству устраяеться. «Сѣет бо ся, — рече, — во тлю, и встает в нетлѣние; сѣется в бещестии, и встает в славѣ; сѣется в немощи, и встает в силѣ; сѣется тѣло душевно, встает тѣло духовно».[50]	Лучше же уразумеет излишество и неразумие возражений всякий, кто заглянет в глубину апостольской премудрости. Разъясняя коринфянам связанное с этим таинство, — причем те отвечали ему, как и ныне старающиеся опровергнуть этот догмат возражают уверовавшим, — смиряя достоинством своей просвещенности дерзость их невежества, он так говорит: «Скажи мне, как восстанут мертвые? И в каком теле придут? Безрассудный, — говорит, — то, что ты сеешь, не оживет, если не умрет. И когда ты сеешь, то сеешь не тело будущее, а голое зерно, какое случится, пшеничное или другое какое. Но Бог дает ему тело, какое хочет, и каждому семени свое тело». Мне представляется, что здесь он обуздывает тех, кто не осознает пределов собственной природы и, со своей силой сопоставляя Божественную мощь, полагает, что для Бога возможно только то, что вмещает человеческое постижение. Но это выше нас — превзойти Божью силу. Ведь тот, кто спросил апостола, как восстают мертвые, отрицал как невозможное новое соединение рассыпанных телесных составов. А раз это невозможно, иного же тела для сочетания составов не остается, то и говорит, делая из важнейших возражений своего рода вывод: если тело есть сочетание составов, а во второй раз им собраться невозможно, какое же тело воспримут воскресающие? Именно это, казалось бы, с некоторым философским искусством теми сплетенное, он наименовал безумием их, не предусматривающих превосходства Божественной силы в будущей твари, не говоря уж о невнимании к высочайшим из Божьих чудес, какими можно было бы в недоумение привести слышащего, как, например, то, что представляет собой небесное тело и откуда оно, что такое солнечный свет, или лунный, или у звезд наблюдаемый, эфир, воздух, вода, земля. Но с помощью обычного у нас и для всех хорошо знакомого он обличает слепоту сопротивляющихся. Не научает ли тебя земледелие, говорит он, что безумен ты, по своей мере о превосходстве Божественной силы судящий? Откуда берутся произрастающие из семян тела? Что влечет их прорастание? Не смерть ли их? Если смерть есть распад составленного, то ведь семя не прорастет, если не распадется в борозде, став достаточно рыхлым и многопористым, чтобы, напитавшись окружающей влагой, выпустить корень и росток и на этом не остановиться, но перемениться в стебель, словно некими скрепами препоясанный посредине коленцами, чтобы мог, стоя прямо, держать колос, плодами отягченный. Где было все то, что свойственно пшенице, до разрушения в борозде семени? А ведь оттуда все это. Если бы его сначала не было, и колос бы не появился. И по тому как тело колоса из семени произрастает, поскольку Божественная сила одно в другое искусно преобразует, и он оказывается совершенно не тождественным семени, но и не вовсе чем-то иным, и таинство воскресения растолковывается тебе в его словах по чудесам, происходящим с семенем, — а именно, что Божественная сила в превосходстве своего могущества не только то распавшееся тело снова тебе подаст, но и другое великое и прекрасное приложит, благодаря которому к большему великолепию наше естество снарядится. «Сеется ведь, — говорит он, — в тлении, восстает в нетлении; сеется в бесчестии, восстает в славе; сеется в немощи, восстает в силе; сеется тело душевное, восстает тело духовное».
Якоже бо оставлеши в браздѣ пшеница еже в количьствѣ малости и еже в качьствѣ образа своего свойство себе не остави, но, в себѣ пребывая, клас пребывает, премного разньствуя сам себе величьствомь и добротою, и быстротою, и образом, и по тому же образу и человѣчьское естьство оставлеше в смерти вся яже о немь свойства, елика ради страстьнаго устроения притяжа, — бещестие глаголя, тля, немощь, еже по взрастох различье, себѣ не оставляеть, но якоже в класѣ нѣкыи, к нетлѣнию преставляет, в честь, и в славу, и еже во всем свершение, и еже не ктому жизнь самая съсматряти естествеными свойствы, но духовно нѣкое и бестрастное проити устроение. Сие бо есть душевнаго тѣла свойство, еже присно нѣкым течением и движениемь от еже в немже есть изъмѣнитися и прелагати в другое, яже бо нынѣ не въ человѣцѣ точью зримъ добрая, но и в садовох и пасътвах. Ничтоже в тогдашнем житьи останет.	Подобно тому как упавшая в борозду пшеница количественной малости и свойственной ей качественной особенности не сохраняет, но, оставаясь собою, становится колосом, существенно отличаясь от самой себя величиной, красотой, устройством и обликом, и человеческое естество, оставив со смертью все свои свойства, какие оно приобрело, подчинившись страстям, — я имею в виду уничиженность, тленность, слабость, возрастные различия, — собою быть не перестает, но словно некий колос восходит к бессмертию, к чести, к славе, к совершенству во всем и к такому состоянию, при котором жизнь не зависит от физических свойств, но к некоторому духовному и бесстрастному устроению переходит. Ведь это свойство душевного тела — постоянно своего рода течением и движением из того состояния, в каком находится, изменяясь, перелагаться в другое, что мы ныне прекрасно видим не только у людей, но и у растений, и у животных. Ничего подобного в тогдашней жизни не останется.
Мнить же ми ся и всѣми съглаголовати апостольское слово нашему непщевании о вскресении, и се показует еже и наше уставление обдержит, глаголя ничтоже ино быти вскресение...	Представляется мне, что апостольское слово во всем соответствует нашему мнению о воскресении и показывает как раз то, что и наше определение содержит, говоря, что воскресение — это не что иное, (как восстановление природы в прежнем виде).
Понеже убо в первѣм бытии мирстѣм — сия от Писаниа навыкохом, — яко «прозябе земля былье травное»,[51] якоже слово рече, таже от проращения сѣмя бысть, емуже на землю низъпадшю, то же пакы видѣ иже исперва прозябшаго, встече, рече божественый апостолъ и о вскресении бывати. Не точью же сему от него научаемся на великолѣпное преставлятися человѣчьству, но яко уповаемое ничтоже ино есть, развѣ еже в первых бяше. Понеже бо исперва не клас от сѣмене, но от класа сѣмя, по сих же се от сѣмене прозябает, якоже и приточное послѣдование явѣ показует, нужа убо всему еже вскресения ради възрастающему нам блаженьству к сущей исперва въсходити благодати. Клас бо суще исперва образом нѣкымъ, понеже зноем злобным исхохом; въсприемши же землѣ смертью разрѣшихся, пакы в весну вскресения клас пожатное се зерно телесное велик же и часть и правъ и на небесную высоту протяжен, вмѣсто стеблия и осилья нетлѣнием и прочими от боголѣпных позваний украшен. «Подобает бо, — рече, — мертвеному сему облещися в бесмертьство и тлѣнному сему облещися в нетлѣние».[52] Нетлѣние же, и слава, и честь, и сила естьства ради быти исповѣдается. Якоже первѣе въ еже по образу бѣша и пакы уповаема суть.	Поскольку же в первоначальном бытии мира — о чем мы из Писания узнали — сначала, как сказано, «произвела земля растение травяное», а потом из ростка появилось семя и оно, упав на землю, выпустило из себя росток того же изначально созданного вида, апостол и говорит, что то же будет при воскресении. И не только тому мы от него научаемся, что к большему великолепию человечество переменится, но и что ожидается не что иное, как то, что было прежде. Раз не колос поначалу появился от семени, но семя от колоса, а после этого снова он произрастает из семени, согласно ясной последовательности событий в этой притче, непременно должно все по воскресении расцветающее для нас блаженство восходить к первоначальной благодати. Ведь мы, колосом своего рода сначала явившись, зноем зла были иссушены; земля же, воспринявшая нас, по причине смерти разрушившихся, в весну воскресения вновь нас явит, возведя колосом, — нагое это зерно телесное — великим и развесистым, прямым и к небесной выси вытянутым колосом, вместо стебля и остий украшенным нетлением и остальными из богоподобных признаков. «Ибо надлежит, — говорит, — смертному сему облечься в бессмертие, и тленному сему облечься в нетление». Нетление же, и слава, и честь, и сила признаются свойствами (божественной) природы. Что первоначально было по образу Божию, то и вновь ожидается.
