I	I
V	V
САМОДРЪЖСТВО ЦАРЯ КОНСТЯНТИНА, БРАТА ВАСИЛИЮ[78]	ЦАРСТВО ЦАРЯ КОНСТАНТИНА, БРАТА ВАСИЛИЕВА
И понеже не щадит никогоже адъ всядьца, и объяша и Василиа челюсти смертные и грѣчское утвержение смилаяше, яко пшеницу, но обаче въ глубоце, и мнозе, и долголѣтнѣй старостѣ. Царская же крѣпость и грѣчьские хоругви къ брату его Констянтину тече. Но бяше истинствующей всячески притча: поданиптиръ и кипел от тѣхжде прьстий. Житиа бо братенцю сию бѣста разнѣ, другь друга отстоащи многочисльными числы. Елико бо Василие, сласти отринув, поучение о бранех творяше житие свое, присно прѣдпочитаа доброконники, и оружноносцы, и желѣзные щитники, и на брани уготовлени, толико же паки Констянтин ни трьпяше зрѣти листные оклопи, и желѣзнаа одежда, и сапоги, ни клопот оружных слышати понѣ въ снѣ, ни трубный вопль понѣ ратный, ни кричаний мужских, ни гласа злоратныплищьных; въ пищах упражняшеся присно и толстых трапезах, и о женах радовашеся присно безстудных и игрѣчевыих, любящих ликования, и свирѣли, и гусли, паче же и много времени сий, и сѣд, и прѣстар. Душу же страшливосрьду и трясущуюся ими, от худа помысла множайшее ослепляше, обльгующе их, яко копающе лукавство отступлениа. О двою же колебля житие дщерю.[79] И от нѣкого увѣдѣвъ, яко власть по нем на Романа приидет на единаго от синклита, подреклом Аргыропула, принуждает мужа обручницу свою и жену отложити прьвую и припрящися Зои багренороднѣй. И сиа увещав, прѣходит от житиа, вмале самодръстьвная насладився.	Так как не щадит никого ад всепожирающий, схватили и Василия челюсти смертные, и власть его над греками смололи как пшеницу, но произошло это, когда он был уже глубоким стариком и в самых преклонных годах. Царская же власть и греческие скипетры к брату его Константину перешли. Но справедливо говорится в пословице: из одной и той же глины таз для мытья ног и священный сосуд. Жили братья каждый по-своему, и во многом они отличались друг от друга. Если Василий, забыв о сладостях мира, жизнь свою посвятил браням, всем предпочитая добрых конников, и вооруженных воинов, и латников со щитами, готовых к битве, то Константин, напротив, не терпел и вида понож, железных доспехов и сапог, а звона оружия и во сне не хотел слышать, и звука труб, и боевых кличей, и воплей мужей, и возгласов злобных; вечно проводил он время в пирах и обильных трапезах, веселился с бесстыдными женщинами и танцовщицами, любящими песни, и свирели, и гусли, хотя был уже далеко не молод, сед и дряхл. Душу же имел трусливую и трепетную, по злым наветам многих присуждал к ослеплению, обвиняя их в том, что замышляют против него коварную измену. Имел он двух дочерей. И когда кто-то предсказал ему, что наследует престол один из синклитиков — Роман, по прозвищу Аргиропул, то принудил того развестись с прежней женой и обручиться с багрянородной Зоей. И, так завещав, ушел из жизни, недолго самодержавной властью насладившись.
ЦАРСТВО РАМАНА АРГИРОПУЛА[80]	ЦАРСТВО РОМАНА АРГИРОПУЛА
Роман же всѣдает на царские прѣстоли, муж премудръ, благочестив, поучаяся въ божественых и о книгах радуется много и стояниих всенощьныих, иже зело великолѣпен Богородицы-отроковицы сьзда храм, емуже звание Перивлептъ.[81] И убо царица, юностию цвѣтущи и клокоти плотными распалаемаа, и видяще Романа особнѣ живуща и ни помянующа, ако привязани есть женѣ, ниже яко живетъ съ женою, паче же и юно, лукавыми нѣкими и злыми помыслы уязвляшеся. Бѣ же нѣкто благообразен и доброзрачен юноша, имя же сему Михаил, родом от Пефлагон.[82] Тому убо Михаилу радостнообразне во царских дворех живущу, царица похотный возложивше взор и личные его видѣвше доброты и заря — бяше бо младообразен, благозрачен, радостен, бѣлъ и румян, — похотными капле росами, похотнѣ же примешашеся, прилѣжне объимаше от лица Михаилова благодатнии цвѣти. И убо нѣкогда Роману царю плоть упокоающу банею и тѣшающу, мужие нѣции, радующуся злу, убийстьвнѣ нападшеи, удавивше и, яко змие обившеся о выи его. Не вѣдѣ, како и откуду наведени бывше, или, якоже глаголятъ, и Зои царици на сие изволивши, ни ли не видящий никакоже, ибо не имам что рещи.	Взошел Роман на царский престол, муж мудрый, благочестивый, взыскующий мудрости божественной и имеющий пристрастие к книгам и к молитвам ночным; он же построил храм великолепнейший Богородице-деве, именуемый Перивлепт. Но царица, цветущая юностью и желаниями плотскими распаляемая, видя, что Роман живет обособленно и не вспоминает, что соединен браком с женой, и не приближается к ней, к тому же юной, коварными и жестокими помыслами распаляется. Был некий благообразный и красивый юноша по имени Михаил, родом был он из Пафлагонии. Тот Михаил прекрасноглазый жил в царском дворце, и царица чувственный взор на него устремила и, видя красоту и сияние <лица его> (был он юн с виду, с цветущим, веселым, свежим и румяным лицом, орошенным чувственной росой), соединилась с ним плотски, с радостью срывая цветы благодатные с лица Михаила. И как-то, когда царь Роман тело свое нежил и покоил в бане, мужи некие, радующиеся всему злому, напали на него и убили, удавив его, словно змеи, обвившись вокруг шеи его. И неведомо, как и кем они посланы были, или же — как говорили — Зоя-царица того пожелала, но, не бывший тому свидетелем, не знаю, что об этом сказать.
ЦАРСТВО МИХАИЛА ПЕФЛАГОНА	ЦАРСТВО МИХАИЛА ПАФЛАГОНЦА
Роману же житие земленое оставльшу, Михаил воцарися и приятъ скипетра, иже прежде мала не явлен и смирен человѣкъ родом. Бѣ же добръ Михаил не токмо образом, но сиаше и благодатми, ихже добродѣтели раждают, душевные красоты и умные светила. Разумѣаше бо, яко смыслен и в себѣ сматряше, от каковаго смирениа взыде на царство и от каковые худости на каковую высоту взятся. Тѣмъже бяше благоувѣтлив, негрьделив, смиреномудръ, прѣкланяяся вь милость и щедре злостраждущих, утешаа убогих и обогащаа нищиих, и увядше злобою неимѣния оживляя, и посѣщая, и грѣя, и златоструйными водами напаая жаждущиих. Никтоже бо, того видѣв, отхождаше и слезы точа, никтоже бо, помолився, възвратися скорбя. Нь убо съдръзашеся недугом лютом, якоже Саулъ[83] лукавою удавою бесовскою, и житие болѣзньно имѣша и бѣдно, или от болѣзньныих времений омрачаяся и падаа, или нуждныимъ мучителем бѣсомъ борим. И множицею бо на землю без гласа пометашеся, пѣны теща из устъ и слины точа, устнѣ имѣя синѣ и очи развращенѣ, и гласи испущая злы и неподобны, яко овча. И аще не прикличахуся нѣции помагающе ему о страсти, биаше главу свою о стѣну, яко чюжду, От сицевые убо страсти многащи въспрянув, теплѣйши бываше добродѣтели дѣлатель и множае прилежаше, еже от сих здравию,[84] и иноческое житие паче жедаше. Бяху же ему единокровницы и от тѣхжде сѣмян, сиречь братиа,[85] мужие злонрави нѣции, люти и хищници, мужие сластолюбиви, скътни, и злооблични, паче же и свиножителни, и говядопасци, говядаре, мужие овчаре, живущи въ безумии и церовѣмъ плодом пекущеся и дубовыим желудемъ. Таковѣмъ убо братиам сущим царевѣмъ и в злых прьвѣньствовавшаго, иже сродством бѣ прьвый, скоплен сий издалеча дѣтотворные уди, человѣкъ злодѣлатель, нравомъ лукав, скврьнноумен, иже прием попечение гирокомства и прочаа вся власти водяше горѣ и долу и дръжащому точен являшеся строитель. Съй убо увещевает Михаила присьненика сътворити братова си сына[86] царици Зои. Бяху же сиа таковаа, а яже по сих кая? Царь убо Михаил анепсея своего, сице бо нарицашеся, женѣ своей присняет и кесарским венцем скотнаго украшает, точнаго свини умом. Сам же придавляяся страстию обычною, во одежду облачитца лутшую багряницу, духовным чрьнилом ризы своя очрьнив, и к тишине притек от многомятежного житиа.	Когда Роман оставил земную жизнь, Михаил воцарился и принял в руки скипетр царский, а ведь прежде был никому не ведом, человек смиренный и незнатного рода. Был же Михаил не только внешностью хорош, но сиял и достоинствами, рожденными добродетелями, красотой душевной и светом ума. Понимал он, ибо был неглуп и способен взглянуть на себя со стороны, из каких низов взошел на царский престол, из какого ничтожества на какую высоту вознесся. Поэтому был он приветлив, негорделив, скромен, склонен к милосердию и щедр к страждущим, утешал убогих и одаривал нищих, а страдающих от злой бедности возвращал к жизни, и посещал, и согревал, и златоструйными водами утолял жаждущих. Никто, будучи принят царем, не уходил со слезами, никто из обратившихся к нему с просьбой не возвращался печальный. Но страдал царь от недуга лютого, подобно Саулу, страдавшему от бесовского наваждения, и жизнь его протекала в болезни и муках, то от <приступов> болезни терял он сознание и падал, то страдал, одолеваемый бесовским недугом. И не раз безгласный падал на землю, пена текла из уст его и слюна, синели губы и закатывались глаза, и издавал он страшные и дикие крики, словно овца. Если же не случалось рядом никого, кто бы мог помочь ему в страданиях, то бился своей головой о стену, словно она чужая. Но, придя в себя после такого приступа, еще ревностнее устремлялся он на добрые дела, надеясь заслужить ими исцеление, и жаждал стать иноком. Были у него единокровные, от того же семени, братья его, мужи дурного нрава, злые хищники, сластолюбивы, скотоподобны и неприятны с виду, все они были скотоводами и пастухами, ходили за плугом, разводили овец, живя в хлевах и питаясь дубовыми желудями. Из этих братьев царя во всем злом первенствовал тот, кто был из них старшим, был он в детстве оскоплен, пристрастие имел к злодеяниям, был коварен нравом, низок умом, был опекуном старцев и правил всем сверху донизу и во всем уподоблялся самодержцу. Он уговорил Михаила, чтобы царица Зоя усыновила сына сестры его. Свершилось так, а что после того? Царь Михаил племянника своего (то же имя носящего) объявляет усыновленным женою своею и кесарским венцом его украшает, свинье подобного умом. Сам же, измученный своею болезнью, облачился в одежды, которые лучше багряницы, — духовными чернилами ризы свои почернил и ушел в жизнь тихую из многострадальной жизни.
Оттоле убо царица прият попечение власти. <...> 	С той поры царица приняла всю полноту власти. <...>
VI	VI
ЦАРСТВО КОНСТЯНТИНА МОНОМАХА[87]	ЦАРСТВОВАНИЕ КОНСТАНТИНА МОНОМАХА
Нь царица Зоя, грѣчьскую власть самодръжца мужа трѣбовати умыслишви, и дѣтемъ въсприятие и рождьства жаждущи, и желающе дѣтородна услышетися чадом мати, — от двѣю бо врьтоградарю, яко древо, напоившися, дряхла страждаше без племене цѣла быти, — тѣмъ и мужа нѣкоего красна, именемъ Констянтина из Лезве приводит корабли вѣтрилоперными, егоже Мономаха нарицаху отчим пореком. Ибо осужден бѣ в том острове жити от прьваго Михаила царствовавшаго, по иных убо, яко царство покушающься въсхитити, — обоюду бо удръжашеся яжо о нем прослутия, — якоже друзии рекоша, имже неложен языкъ, зане примѣсися похотнѣ Зои царици. Въ Лезвъ убо осужден быв сьй Констянтин, и вмале не пострадав угашением очным, внезаапу падшу въспять колу чести и скодѣлю ее инако прѣврьгьшуся,[88] царь показася и владыка, сий прьвий раб, самовладыка бысть осуждены и самодръжець сьвезаны, и царицю Зою уневѣщает на брак. Сице неисправлено есть земленородных житие, сице имѣниа коло, горѣ и долу текущи, валяет вся мертвная и размѣшена творит. Похвалы же въообразуют сего Мономаха на бранех убо неискусна и на оружноносие, а въ иных великаго лѣпна, даролюбива, весела, свѣтлодушна, красолюбива, милостива нравы, даролюбию море, езеро пиванию, из негоже восприемше мнозии потомки добракапелные, из негоже почрьпоша мнози воды живопитателные, пролитиа бо повсюду, източив, явися златопроходный Пактолос,[89] Нил среброструйный. Познаша сего и людие длани любодаровитие, увѣдяше сего и храми красолюбние руцѣ. Нищи напоишеся и почрьпоша в сытость, всяк храм восприят напояния златоточная. Сице обща рѣка, всюду наводняема, издаваше бо даром нескуднополитная излияния, яко не вь тренныя проходи въ обидимые.[90] Ибо Ксерьксь,[91] грьдый он персом князь, поддобрую тополу въсклонився, яко въ жатву красотами бездушными сад почитаяше. Ового же и камениа, и садовиа, и острови, и пристанища дарми упоишася доброросными и приснотекущими. Сице богату душу, сице велику имѣша. И аще кто разумѣти хощет великодушие его, добросозданные храмъ увѣрит ему вещь, егоже от основанна въздвиже и от корен прьвыих божественому мученику побѣдоносцу Георгию. Но убо добрыими цвѣти паче кедра, сице свьтеся добродѣтелми листвием, яко финиксь, зело недужен бяше плотию прьстною, ногоболием бо тяжким стезашеся, ногама, яко желѣзы твердыми и яко нерешимыми оковы. И убо пребываше весь день в мякких постелях, упокоая свои недужнѣи нозѣ.[92]	Но царица Зоя, желая греческую власть передать мужу самодержцу и мечтая родить, и растить детей, и детородной стать матерью чадам (от двух садовников, словно дерево, напоенное влагой, страдала, оставаясь без плода), поэтому и мужа некоего прекрасного собой, именем Константин, с Лесбоса доставляет на кораблях, быстрых как птицы, его же Мономахом называли по отчему роду. Осужден он был жить на том острове еще первым Михаилом царствовавшим, по словам одних, потому, что собирался захватить власть (разные ходили о нем слухи)>, а другие, слывшие правдивыми, утверждали, что был он в плотской связи с царицей Зоей. Присужден был к ссылке на Лесбос сей Константин и едва не был ослеплен, но повернулось внезапно назад колесо судьбы, и жребий ему иной выпал — царем стал и владыкой этот недавний подданный, самовластцем стал осужденный и самодержцем связанный, и с царицей Зоей вступает в брак. Так вот непостоянна жизнь на земле рожденных, так колесо судьбы то вверх, то вниз устремляет, вертит всеми смертными и все может смешать. Молва же говорит, что Мономах этот был не искусен в бою и во владении оружием, а во всем остальном человек достойный, щедрый, веселый, светлодушный, любящий красоту, добрый по характеру, море даролюбия и озеро жаждущим, из которого проистекает множество потоков светлоструйных, и черпают из них воду живопитательную: источниками повсюду разлившийся, явился он как золотоносный Пактол и как Нил среброструйный. Узнали люди руки его, щедрые на дары, узнали и храмы руки его, красоту ценящие. Нищие напоены и накормлены досыта, всякий храм одарен потоками золотыми. Так являлся он всем, как река полноводная, неистощимая в дарах своих <...> Ибо Ксеркс, гордый царь персидский, склонился под прекрасным тополем, за летнюю красоту неодушевленную сад почтил. Этого же <Константина> дарами щедрыми и постоянными напоены и камни, и сады, и острова, и пристани. Такую богатую и щедрую душу имел он. И если кто хочет убедиться в великодушии его, то засвидетельствует это прекрасный храм, им созданный, воздвигнутый им от основания и от самой земли в честь божественного мученика Георгия Победоносца. Но хотя был царь прекрасен, как кедр, листвой добродетелей красовался, как финиковая пальма, тяжело было больно его тело бренное, тяжко страдал он от болезни ног — были они тверды словно железные, точно заключены в несокрушимые оковы. И поэтому пребывал он все дни в мягкой постели, покоя свои больные ноги.
От сего рассѣдошася на нь многии влъны и напастем и бедамъ вѣтри бурнии. Слышится всячьскы он лютый Манияк,[93] муж исполинорук, бръзорук, мужоубийца, дръзосрьдъй, добросрьдъ, дыхая стремлением усрьдьным. Той убо, собрав муже ратные, шлемоносца и копийники, мужа исполина тѣлом, доброрастен възрастъ имущем тѣла, паче тополий водных высоту имущих, яко облак ста над главою царю, дебель и мрачен, и мутен, и чрънѣйше смолы, тяжкими дожди прѣтя, не водными же дожди, но струями кровными, но кровными пролитии. Постиже убо убѣжища, постиже градови. Идѣше прѣте яростию и дыхаа паче кентаврь, яко Капаневь,[94] велерѣчуя и гордяся, яко Антѣй.[95] И кто убо надѣяшеся избѣгнути от злобы толикие? Но стрѣгомий Божиима дланма не убоится исполин, ни звѣрие устрашится, ниже въстрепещет желѣза, ни каркиновѣх устъ,[96] имат бо поборника Бога паче всякого тяжка камене, паче тигрьскаго звѣрогонителя Минда.[97] Тѣмь и въсия солнце свѣтлыя луча, и разори тму, и прогна облак, и видяше свѣтъ без облака царь и градове, бысть бо в ребра прободен злый звѣрь, и вси избѣгоша от звѣроядныих его челюстей. Паки же Торник[98] другое зло прониче, други звѣрь, егоже Даниил провидѣ древле, попирая вся и развѣвая и ногами сьтирая, а оставшая съкрушает зубы.[99] Нь и сего въсхитити суд, неизбѣжными стрѣлами того стрѣлявши и звѣря уязвивши язвами напастными. И тогда объятъ самодръжца тишина немутнаа, не имущи приражениа бурнаго.	Из-за того поднялись на него одна за другой волны напастей, принесли беды ветры бурные. Услышан был всеми некий лютый Маниак, муж с руками исполина, быстрорукий, мужей убийца, бесстрашный и мужественный, исполненный бранного пыла. Тот собрал мужей ратных, шлемоносцев и копьеносцев, мужей, могучих телом, а ростом поднимающихся выше тополей прибрежных, словно туча, встал над головой царской, туча тяжелая, и мрачная, и мутная, чернее смолы, грозящая сильными дождями, но не водными ливнями, а потоками крови и кровопролитием. Захватил он крепости, завладел и городами. Двигался, дыша яростью, словно кентавр, уподобясь Капанею, величаясь и гордясь собой, как Антей. И кто бы мог надеяться, что избежит такой беды? Но тот, кого хранят божественные длани, не убоится исполина, не устрашится зверя, не вострепещет перед железом и перед зевом огненным, ибо имеет он защитником Бога, что сильнее самого тяжелого камня и тигрского зверогонителя Минда. Потому и воссияло солнце светлыми лучами, и разорвало тьму, и прогнало тучу, и увидели небо безоблачное и царь и города, в ребра же был пронзен злой зверь, и все избавлены были от звероядных его челюстей. Но за ним Торник новое зло затеял, другой зверь явился, предсказанный еще в древности Даниилом, все круша, развевая <по ветру> и ногами топча, а оставшееся сокрушая зубами. Но и того постиг рок, неумолимыми стрелами его поразил и зверя уязвил ранами смертными. И тогда воцарилась вокруг самодержца тишина светлая, не нарушаемая тревогами бурными.
САМОДРЪЖЬСТВО ФЕОДОРЫ[100] ЦАРИЦЫ	ЦАРСТВО ФЕОДОРЫ ЦАРИЦЫ
Да якоже притужаху ему лютии недузи, и брения телеснаго естьство прошаше, на багрянородную абие Феодору, Зоину сестру, царство прѣходит, ибо царица Зоя прежде умрьла бѣ. Яже на властную вмале всѣдше колесницу и исхождение свое разумѣвши еже ис тѣла, бяше же, якоже глаголять, неискусна плодскимъ скврьнам, мужа нѣкоего долгоживша, и сѣда, и трясущася възводит всадника на колесницу толикую, ему же имя Михаил.	Когда же одолели его тяжкие недуги и природа потребовала бренное его тело, к багрянородной Феодоре, Зонной сестре, снова переходит царство, ибо царица Зоя уже умерла. Но и эта не надолго взошла на колесницу власти и, предвидя близкое расставание с телом (как говорят, не искушена она была плотской скверной), мужа некоего, долгую жизнь прожившего и седого, и трясущегося, возводит править колесницей этой, имя же ему Михаил.
ЦАРСТВО МИХАИЛА СТАРЪЦА	ЦАРСТВО МИХАИЛА СТАРЦА
Иже лѣтными убо многожительными украшашеся врьхи долгостаростными, въспять убо достигших кь западом жития, и от служениа убо его рать погибе, вь иних же и добронравен, и изящен бѣ. Но убо не возможе срьдечные отрасли на свѣтъ произвести и показати сущий въ глубинѣ клас, ибо обдержаху всю власть Феодорины сродници, прьвые царици, не брѣщи о Михаиле подобне, яко безвременную зелку безлистьвну, и стару, и уже увядшу, понеже и связан бѣ страшными клятвами, яко да предасть имъ вся: и словесы правити и вещьми. Бяше убо тьй яко сѣнь и словеси токмо царь, а прочаа вся руками онѣх правляху, ихже пѣстуны Михаилу остави Феодора и хранителя, и строителя, и власти его отца, двопѣстунны ибо суть старцы, по притчи. Тѣмъ и приходящей и приступающей к ним и по всему по воли их устроени суще почрьпаху обилия даров. Человѣци же воинстьвнии, ратем искуснии, и от корени славныих прозябшеи и добровѣтьвныих, имже добра отечьства и прародителие и род от храбрых, яки сьсуд нѣкий скуделнич и безчестьнь премѣтахуся. Увѣрити же имать глаголемое Комнинь[101] он, емуже имя Исакие, иже въ храбръствѣих имяше и прослутие велико, имѣша бо руцѣ блази на добрая дѣла и прьсти доброуказани на рати. Иже приступль к Михаилу и плодние трудни богати от негоже потяжати вознепщевавъ, и надеждъ не получив, ни пожав цвѣти, но и паче поругания обрѣтъ трьние от злых врьтоградар властные ограды. И гнѣвен быв, възрѣвъ на отметнутие, и придружив Дуку Констянтина[102] и многие ини, великим богатьством кипящих и роду начала свѣтла имущих, и собрав воя из Асие, оружники, нападе на царя, хотя его съ прѣстола сврещи. Услыша же сиа Михаил, трясущийся старець, и, судив паче себе недостойна быти сану, яки гробна уже старца и гнила, готов бѣ слѣсти съ прѣстола и уступити. Но иже корабль властный устроеный, не хотяще спасении его, но потопити и погрузити богатѣйши влънами тяжко шумящими, на брань и не хотяща старца подвизают — вмале не погребена — на ополчение. От сего брани междусобные, и десница грѣчьскыя на грѣки сулица остряще и копиа, и омакаеми кровми междусобными, и серпь простирашеся, разделяа съединение, и друга на друга подвиже, яко во мрацѣ, и чада единаго отца друга на друга расверѣпие. Бывает же Комнин изящнѣй въ брани, и град прьвый градом[103] постигъ безперною бръзостию, и венець возложив на ся, самодръжец показася.	Он, прожив много лет, украшен был достоинствами глубокой старости, находился на самом закате жизни, и стараниями его прекратились войны, в остальном же был добронравным и достойнейшим. Не мог он плода сердца своего на свет произвести и явить сущий в глубине колос, ибо держали всю власть родственники Феодоры, бывшей царицы, которые вовсе не считались с Михаилом, точно он был не вовремя выросшим кочаном капусты, без листвы, старым и уже увядшим, ибо был он связан страшными клятвами, что отдаст им все: и право решения, и власть над людьми. Был он поэтому, словно тень, и лишь по имени царь, вся же власть в их руках была, а тех пестунов приставила к Михаилу Феодора как хранителей, и советников, и отцов державы, ибо, как говорится, старики — это вдвойне дети. Поэтому все приходящие и являющиеся к ним и все совершающие по воле их получали обильные дары. Мужи же бранные, в бою искусные и принадлежавшие к славным родам и корням, имевшие происхождение благородное и предков храбрых, были отринуты, словно это дешевые глиняные горшки. Решил убедиться в справедливости слухов этих Комнин, ему же имя Исаакий, храбростью завоевавший великую славу, ибо руки его были готовы на всякие благие дела, а грудь словно создана была для битвы. Приступил он к Михаилу, рассчитывая получить от него богатые дары, но не оправдались его надежды, не обрел он цветов, а получил в поругание терние от злых садовников царского сада. И разгневался, претерпев такое унижение, и привлек на свою сторону Константина Дуку и многих других, прославленных великим богатством и происходящих из славных родов, и собрал воинов из Азии, оружие носящих, и напал на царя, решив свергнуть его с престола. Услышал об этом Михаил, трясущийся старец, и понял сам, что недостоин он царского сана и что на краю могилы уже стоит, хилый старец, и готов был сойти с престола и уступить его. Но те, кто управляли кораблем царствования, не о спасении его помышляя, но готовые потопить и погрузить корабль богатейший в водах тяжкошумящих, сего старца против воли посылают — едва живого — на битву. И началась междоусобица, и десницы греческие на греков же сулицы острят и копья, и обагряют друг друга кровью междоусобий, и серп простирается, разделяя друзей и поднимая их друг против друга, словно в помрачении, и чада одного отца друг против друга свирепо борются. Но оказался Комнин удачливей в брани и города, первого среди городов, достиг быстрее, чем на крыльях, и, венец возложив на себя, объявил себя самодержцем.
