Како Отапатъ взятъ бысть	Как была взята Иотапата
Въ тойжде день трудъ и ужасъ удръжа устремление иудѣйско. Наутрѣи же събравше всю силу съ упованиемъ, вытекоша въ вторый час дне[56] въсточными враты и нападоша на стража внѣшняя. И си крѣпко сътръпѣша устремление ихъ, и въоружившеся сташа противу яко стѣна, исплъчившеся чясто, но ярость и ристание иудѣйско одолѣваше имъ. И поразумѣ Титъ уклонение их, видяше бо от Антония, и прийде съ избранными вои на помощь. Иудѣи же не стръпѣша пришествия его, но прѣднимъ падшимъ, а прочии разбѣгошася. Егда же отступаху римляне, си възвращающеся нападаху на ня, онѣм же възвращающимся, си бѣгаху. То же бысть до пятого часа дне, дондеже бѣжавше затворишася въ внутренѣй цръкви.	Когда же наступило утро, Тит послал погасить огонь, разобрать то, что сгорело, и расширить путь для полков. И призвал шестерых верховных военачальников: Тиберия Александра, Секста Цереалия, Ларция Лепида, Тита Фригийского, Фронтона Этернина, Марка Антония Юлиана, наместника Иудеи, и держал с ними совет о храме. Одни из них сказали, что с ним нужно поступить по закону войны, потому что иудеяне не прекратят мятеж, пока стоит храм, в который они собираются отовсюду. Другие же сказали: «Если иудеяне оставят <храм> и не будут браться в нем за оружие, то его следует сохранить; если же будут оттуда биться, то поджечь его: ведь тогда его нужно назвать боевой крепостью, а не храмом. Беззаконие же <исходит> не от нас, но от вынудивших нас <это сделать>». А Тит сказал: «Если даже иудеяне будут сражаться, находясь в нем, я все равно никогда не погублю вместо них неживое и не сожгу такое огромное и прекрасное ссюружение. Ведь если <храм> погибнет, это будет во вред римлянам, если же сохранится, то будет украшением нашей власти». К этому мнению присоединились Фронтон и Александр. И тогда он распустил совет и велел военачальникам отдохнуть вместе с воинами, чтобы наутро с новыми силами изготовиться к бою.
Како цръкви зажжена бысть, и о знамѣниихъ прежде погыбели Иерусалиму, и како Симонъ и Иоанъ призваста Тита на повѣсть, Титъ же повелѣ противу речи ею отвѣщевати; они же не покаряхуся, Титъ же не повелѣ оттолѣ их щадѣти	В тот день усталость и ужас сдержали устремление иудеян. Наутро же, собрав все силы и надежду, они выбежали во втором часу дня через восточные ворота и напали на стражу снаружи <храма>. Те стойко выдержали их нападение: вооружившись, стали против них как стена, изготовившись тесным строем, но яростные набеги иудеян одолевали их. Тит заметил, что они отступают, — он видел все с Антониевой крепости — и пришел с избранными воинами на помощь. Иудеяне не выдержали его прихода, но, после того как передние пали, остальные разбежались. Когда же римляне начинали отступать, они возвращались и нападали на них, когда же те возвращались, они убегали. Так продолжалось до пятого часа дня, пока, бежав, они не затворились во внутреннем храме.
Титъ же отступи къ Антонии и наряди воя, да утро приступят вси около цръкви. Богъ же инако промысли и древле осуди ю огнемъ скончятися. И приспѣ судный день на скончяние лѣта, въ десятый день мѣсяца лоя, в онже древле вавилонскымъ цѣсаремъ иждежена бысть. Пламени же начятие бысть от своихъ. Отступившю бо Титу, и мало врѣмя почивше иудѣи пакы на римляны вытекоша, и си побѣждьше иудѣя, гнаша по нихъ и до цръкве, и сами внидоша. Идѣже нѣкто воинъ ни казания кесарева пождавъ, ни убояся о толице почятьи дѣмонскомъ, суровствомъ въсхити огнь изовну и на дружне рамо въступи, досяже до златаго оконца и до дверий, имиже възможно бысть възлазити къ храмом оцръковнымъ. Пламени полящю, иудѣи възопиша и въскликаша по достоянию страсти, на възбранение и на месть потекоша, ни живота щадяще, ни себе блюдуще, ни опасающеся.	Как подожжен был храм, и о знамениях перед погибелью Иерусалима, и как Симон и Иоанн призвали Тита на беседу, Тит же повелел возразить на их речи; они же не покорялись, и Тит приказал больше их не щадить
И нѣкто притекъ възвѣсти Титови. Сей же въ шатрѣ почиваше от брани. И абие въсхоплься, течяше къ цръкви, да угасить огнь. И по немъ поидоша гемони вси, и въслѣдъ их идяху плъци убоявшеся, и бысть вопль и мятежь великъ, толикой силѣ бес чину подвигшися. Кесарь же гласомъ и рукою казаше воемъ угасити огнь. Они же ни кличюща слушаху, зане уши ихъ не слышаху от ратнаго кличяниа, ни ручнаго махания внимаху.	Тит отступил к Антониевой крепости и изготовил воинов, чтобы наутро они все, подойдя, окружили храм. Бог же судил иначе и давно положил ему погибнуть от огня. И приспел судный день в конце года, в десятый день месяца лоя, в который он в давние времена был сожжен вавилонским царем. Огонь начался от своих. Ибо когда Тит отступил, иудеяне, передохнув немного, снова устремились на римлян, и те, одолев иудеян, преследовали их до самого храма и сами вошли <за ними>. И тут один из воинов, не дождавшись приказа цезаря и не убоявшись демоном внушенного начинания, в ярости выхватил огонь изнутри и, встав на плечо товарища, достал до золотого оконца и до дверей, через которые можно было добраться до строений, окружавших храм. Огонь стал разгораться, и иудеяне, с таким криком и воплем, которого заслуживало это страшное дело, побежали, дабы воспрепятствовать <римлянам> и отомстить, не щадя жизни, не помышляя о спасении и позабыв об осторожности.
Ови бо на супостаты зряху, кто кого убиеть, ови же гнѣвомъ затвориша уши, плъком же текущимъ, ни казание, ни запрещение, ни млъба можаше удръжати устремления их, но ярость воеводяше прѣд всѣми и гнѣвъ обья вся. И въ теснотѣ съгнѣтающеся, мнози потоптани быша другъ от друга, мнози же на горящее камение и на попелъ въступающе, не могуще вылѣзти изгараху. А иже близъ цръкве стояша, не творяхуся слышаще кесарева повелѣния, но кождо ихъ ближнему веляше зажещи болма. Мятежници же метяхутся, не могуще что промыслити, и бысть везде бой и кровь и бѣжание. Народ же, людие суще немощнии и безъ оружия, идѣже кто постиженъ, ту убиенъ бысть. У жрътвеника събрашася множество мрътвець, кровь же течяше акы рѣка, и струя кровнаа влечяше трупие.	И кто-то, прибежав, возвестил Титу. Он же в шатре отдыхал от брани. И немедленно, вскочив, побежал к храму, чтобы погасить огонь. И за ним направились все военачальники, а вслед им шли полки в страхе, и стоял крик и большое смятение, когда такая огромная сила пришла в движение без порядка. А цезарь голосом и рукой приказывал воинам погасить огонь. Они же не слушали даже его крика, — потому что уши их не слышали из-за ратного шума, — и не замечали знаков, которые он делал рукой.
Кесарь же разумѣвъ, яко не можеть устремления удръжати войскаго, и огнь одолѣваше, вниде съ гѣмоны внутрь и видѣ святое цръковное, егоже жадаше, и вся яже в немъ преславна, не токмо у своихъ людий, но и у иноплеменникъ, чюдна и преславна и прекрасна. Пламени же и еще не прошедшу внутрь, но окрестнаа храмы обходящю, мня Титъ, яко възможно есть и еще отъяти дѣло огня, прискочи и начя самъ гасити огнь, и воины понуждаше. И Ливерарья пристави сотника бити непослушающаа, да възбранять пламени. Гнѣвъ же ихъ и ненависть иудѣйска одаляше чести кесаревѣ и страху, и устремления ратнаа полаху паче пламене. Мнозии же въсхищения надѣющеся болма зажигаху, мняще, яко вся исплънена внутреняя богатства, зане видѣша окръстнаа златом покрыта. Вышедшю же кесарю на възбранение вой, нѣкто вложи огнь въ темныя двери внутрении,[57] и внезапу изъвнутрь явившюся пламени, отступиша игемони съ кесаремъ, и оттолѣ не възбраниша никомуже. И цръкви же такоже зажжена бысть, не хотящю кесарю.	Одни смотрели на врагов, кто кого убьет, другим гнев затворил уши, и когда полки бежали, ни приказ, или запрет, ни просьба не могли удержать их устремления, но ярость предводительствовала всеми и гнев охватил всех. И, давясь в тесноте, многие были затоптаны своими, а многие, наступая на горящие камни и на пепел и не сумев выбраться, сгорели. А те, что стояли возле церкви, притворялись, будто не слышат приказов цезаря, но каждый из них велел стоящему рядом поджигать еще больше. Мятежники же метались, не зная, что предпринять; и повсюду шел бой, текла кровь и бежали воины. А народ — людей беспомощных и безоружных — убивали там, где кого настигали. У жертвенника скопилось множество мертвых, а кровь текла как река, и поток крови увлекал трупы.
Дѣло велика рыдания достойно, прѣдивнейши всѣхъ, елико слышахомъ и видѣхомъ и създаниемъ, и величествомъ, и красотою, и устроениемъ, и славою от святаа. Велико же утѣшение прииметь кто зря на суд Божий, егоже не възможьно утечи ни съдушьнымъ, ни бездушнымъ, ни дѣломъ, ни мѣстомъ. Удивить же ся кто времѣнному кругу: судъ бо и съблюдѣ и того мѣсяца, и того же дне, якоже рекохомъ, в онже древле вавилоняне пожьгоша ту цръковь.[58] И от перваго же създаниа ея, еже нача Соломанъ цѣсарь, до нынѣшьня разорениа, еже бысть въ двѣ лѣте кесарьства Еуспасианова, съчитается лѣт 1000 и 100 и 30, и 7 мѣсяць, дневъ 15, от послѣдняго же създаниа, еже сътвори Аггѣй[59] во 2 лѣто цѣсарьства Кирова, до сего плѣнениа съчитается лѣтъ 600 и 30 и 9, и мѣсяць одинъ и 15 дневъ.	Цезарь, увидев, что не может удержать устремления воинов и что огонь одолевает, вошел с военачальниками внутрь и увидел святилище храма, который он жаждал <увидеть>, и все, что было в нем, о чем шла слава не только среди своих людей, но и иноплеменников, — чудное, достойное славы и прекрасное. Поскольку пламя еще не проникло внутрь, но распространялось по окрестным строениям, Тит, думая, что еще возможно спасти здание от огня, подскочил и начал сам гасить огонь и заставлял воинов. Он приставил сотника Либералия бить неповинующихся, чтобы воспрепятствовать огню. Но, охваченные гневом и ненавистью к иудеянам, они уже перестали почитать и бояться цезаря, и ратное рвение пылало сильнее пламени. А многие, надеясь пограбить, поджигали еще больше, думая, что внутри все наполнено богатствами, потому что видели, что кругом было золотое убранство. Когда же цезарь вышел, чтобы остановить воинов, кто-то бросил огонь в темные внутренние двери — и внезапно изнутри показалось пламя; тогда отступили военачальники с цезарем и больше уже никого не останавливали. Так был подожжен храм, против воли цезаря.
Съгарающи же цръкви вся обретаемая въ гробѣжь и въ расхыщение быша, и вси постигаемии желѣзомъ скончашася, и не бысть милости никоторомуже възрасту, ни стыдѣния на благообразныхъ, но и дѣти, и старии, и сквернии, и иерѣи равно смръть прняша: рать бо обья всякъ род бьющихся и молящихся. И пламени же бучащю, и вопль падающих и стонание громъ въспущаше. Высоты ж ради горнѣе и величества дѣля съгарающю дѣлу, реклъ бы кто издалечя зря, яко весь градъ горить. И невъзможно помыслити что лютѣйша и страшнѣйша тогдашняго вопля: римстии плъци бо мятущеся кликаху, мятежници же обступлени огнемъ и оружиемъ въпияху, иже остася людий бѣжаху съ ужасомъ кличюще, противу страсти плачюще; мнози же от глада иссохше и мжаще, видѣвше цръковный огнь, възмогоша пакы кликати и плакати. И противу кличю възгласяху горы окрестнаа и лѣси. И всюда бысть мятежь и страсть люта, и мнѣли бо цръковную гору ис корения скачющю, зане исплънися всюда пламене. Кровь же бысть обилнейши огня, и убиваемии болѣ убивающихъ, и не бысть лзѣ видѣти земля, зане вся покрыта бысть трупиемъ. Воини же и на стогы мрътвець въступающе на бѣгающаа течяху. Мятежници же одва проборовшеся къ внѣшнѣй цръкви въстекоша, и оттуду къ граду, останокъ же народа вбѣже въ внешнюю комару. Иерѣи же пръвѣе вертелища[60] желѣзнаа истлъчьными ногами метаху на римляны; потомъ же яко дойде ихъ огнь, поступиша къ стѣне широцѣ сущи 8 лакотъ. Два же от нарочитых въвергостася въ огнь и сожжена быста съ цръковью — Мииръ, сынъ Вельговъ, и Иосифъ Далѣевъ.	Творение, достойное великого плача, самое удивительное из всех, сколько мы слышали и видели, и строением, и величием, и красотою, и убранством, и славою своих святынь. Но глубоко утешится тот, кто подумает о суде Божьем, которого не может избежать ни обладающее душой, ни то, что души не имеет, ни дело, ни место. И подивится кто-нибудь кругу времен: судьба соблюла и тот же месяц, и тот же день, в который, как мы сказали, в давние времена вавилоняне сожгли этот храм. От первоначальной постройки его, начатой царем Соломоном, до нынешнего разрушения, которое случилось в два года правления цезаря Веспасиана, насчитывается 1130 лет, 7 месяцев и 15 дней, а от последней постройки, которую предпринял Аггей во 2-й год царствования Кира, до этого пленения насчитывается 639 лет, один месяц и 15 дней.
Римляне же мняще восуе щадѣти окрестнаа, цръкви же пожжени сущи, зажгоша комары и двери и врата, развѣ двоихъ — въсточныя и полуденьныя, послѣдь же раскоявшеся, и ты раскопаша и пожгоша и газофилакию, яже быша хранилища стяжания многа: лежаше же в нихъ ризы и паволокы, и съсуды бесчисленыя, и отинудь рѣщи все богатство иудѣйско ту бѣ събранно и вси домовѣ богатых. Приидоша же и на прочную комару внешнюю, в нюже прибѣгоша жены и дѣти и ина чядь смешенаа 6000. И прежде даже не повелѣ кесарь ни гемони, ии гнѣва исплънившеся вои подожгоша и истлѣша вси, и не избы от нихъ никтоже, овѣмъ въ пламень вмѣтавшимъся, овѣмъ ту изгорѣвшимъ.	Пока храм горел, было разграблено и расхищено все, что удавалось найти; и все, кого настигало железо, погибли, и не было пощады никакому возрасту, ни уважения к благообразию, но и дети, и старцы, и нечистые, и священники — все равно приняли смерть, ибо война захватила всех сражающихся и молящихся. И в то время как выло пламя, гремели вопли и стоны погибающих. Из-за высоты горы и огромных размеров горящего сооружения глядящий издалека сказал бы, что горит весь город. И невозможно вообразить ничего более жуткого и страшного, чем тогдашний вопль: ибо и римские полки кричали, мечась, и мятежники, окруженные огнем и битвой, испускали вопли, и те, кто уцелел, бежали в ужасе, крича и плача при виде бедствия; и ко многим иссохшим от голода и видевшим смежающимися глазами огонь в храме, вернулись силы кричать и плакать. И на крик отзывались окрестные горы и леса. И повсюду было смятение и лютый ужас, и казалось, что гора, на которой стоял храм, выпрыгивает из основания, потому что вся она покрылась пламенем. Но кровь была обильнее огня, и убиваемых было больше, чем убивающих, и земли не было видно, потому что вся она была покрыта трупами. Но воины гнались за убегающими даже попирая груды мертвецов. Мятежники же, едва пробившись, сбежались к внешнему храму и оттуда — к городу, а остальной народ вбежал во внешнюю галерею. Священники поначалу кидали в римлян железные вертела, выламывая у них основания; потом, когда до них дошел огонь, отступили к стене шириной в 8 локтей. А двое из именитых <граждан> бросились в огонь и сгорели вместе с храмом — Миир, сын Вельги, и Иосиф, сын Далея.
О знамениихъ прежде погибели Иерусалиму	Римляне, полагая, что ни к чему щадить окрестные <строения>, когда храм сожжен, подожгли галереи, двери и ворота, кроме двоих — восточных и южных, а потом, пожалев об этом, и те разрушили; сожгли и сокровищницу, где хранилось большое богатство: там лежали и ризы, и покрывала, и бесчисленные сосуды, — одним словом, все богатство иудеян было здесь собрано и все домашнее имущество богатых. Они пришли и в уцелевшую внешнюю галерею, в которую сбежались жены и дети и прочий люд всякого рода, числом 6000. И не дожидаясь приказания цезаря или военачальников, преисполнившиеся гнева воины подожгли <их>, и все погибли, и никто от них не спасся — одни бросались в огонь, а другие сгорели на месте.
Погибѣль же си людемъ сътвори нѣкто лжий пророкъ, иже въ ты дни проповѣдаше гражаномъ, яко: «Богъ велить вамъ внити въ цръковь и приати знамение избавлению». Тѣхъ же лживыхъ пророкъ Иоаннъ съ Симономъ пустиста къ людемъ, заповѣдающа людемъ ждати Божия помощи, да быша не бѣжали к римляномъ. Обычай же есть всякому въ бѣдахъ сущю, възвѣстить ему кто избавление от зла, то имѣть вѣру. Аще же льстить кто и лжеть добраа млъвя, то вѣрнй ему, и все упование на того възложить.	О знамениях перед погибелью Иерусалима
Тѣмже и се многострастный народ лестьцемъ и лжющимъ на Бога внимаше, глаголющим же право и проповѣдающимъ хотящюю быти пустоту и знамениемъ и явлѣниемъ не внимааше, ни вѣроваше, но якоже шибении, ни души имущи, ни очью, ни послушаша Божествъныя проповѣди. Ни разумѣша, егда ста звѣзда над градомъ, подобна копию, и пребы лѣто все, ейже имя комитисъ наречемаа, вся власятая. И пакы, прежде заротѣния съвокупляющимся людемъ къ опресночному празднику, въ 8 день мѣсяца ксанфика, иже есть априль, въ девятый час нощи, толикъ свѣтъ въсия на жрътвеницѣ и на цръкви, яко мнѣти дни быти свѣтлу, и продлъжися до получаса. Иже неразумнии мнѣша благо знамение, священнии же грамотеи тако судиша, якоже и скончяся. В той же праздникъ корова нѣкымъ приведена бысть на заколение, и посреди цръкви стоящи роди агньца. Въсточнаа же врата внутреняя, мѣднаа и тлъста, одва въздвизаема 20-ю мужь на затворение, имъже быша верея желѣзны и завора, подбой глубокъ и длъгымъ камениемъ устроенъ, явишяся въ 6 час нощи сама отворена. Притекше же стражие цръковьнии повѣдаша властелину, и сей съ многыми людми пришедъ, едва поможе затворити я. Се же знамение судиша на благое: мнѣша бо, яко Богъ отвръзеть имъ двери благыя. Книжници же разумѣша, яко утвръжения цръковнаа сама разорятся, и туне отверзется ратникомъ, и опустѣеть святое. По малѣ же дневъ от праздника, въ 21 день мѣсяца артемисия, иже есть май, видѣние нѣкое дѣмонское явися паче вѣры. Иже слышать, мнѣли быша рѣчь сю басни и чяродѣяния, аще не мнози быша видѣли и повѣдали, и страсть въслѣдоваше подобна видѣнию. Преже бо слънечьнаго захождения явишася по аеру и по небу по всей иудѣйстей земли колесници и полци съ оружиемъ, скачюще сквозѣ облакы и обступающе грады. Въ праздникъ же нареченный Пянтикостий, нощию иерѣи влѣзше въ внутренюю црьковь по обычаю на службу, пръвое очютиша подвизание и громъ, потом же и глас внезаапу слышаша глаголющь: «Отступимъ отсюду». Иже страшнѣйши сих.	А виновником этой гибели людей был один лжепророк, который в те дни возвещал горожанам, что: «Бог велит вам войти в храм и принять знамение спасения». Этих лжепророков Иоанн с Симоном послали к людям с заповедью — ждать Божьей помощи, чтобы они не бежали к римлянам. А в беде — так обычно бывает — всякий верит любому, кто возвестит ему избавление от несчастий. И если кто-то обманывает и говорит приятную ложь, то ему верят и на него возлагают всю надежду.
А Исусѣ Анановѣ сыну, о шести глас	Вот почему и этот многострадальный народ внимал обманщикам и лгущим о Боге, а говорящим правду и предвещающим грядущее опустошение знамениям и явлениям не внимал и не верил; и как безумные, не имеющие ни глаз, ни души, не послушали они Божественного предупреждения. И не уразумели, когда над городом встала звезда, подобная копью, и стояла целый год — она называется комета, <потому что> вся волосатая. И кроме того, перед началом войны, когда народ собирался к празднику опресноков в 8-й день месяца ксанфика, то есть апреля, в девятый час ночи такой свет воссиял на жертвеннике и на храме, как будто был ясный день, и это продолжалось с полчаса. Неразумные считали, что это благое знамение, но сведущие в священных книгах рассудили в соответствии с исходом. В тот же праздник кем-то была приведена корова на заклание, и, стоя посреди храма, она родила ягненка. А восточные внутренние ворота, медные и толстые, которые с трудом задвигали 20 человек, с железными петлями и запорами и глубоким косяком, сделанным из длинного камня, — оказались в 6-й час ночи отворившимися сами собой. Прибежавшие сторожа храма оповестили начальника, и тот, явившись с немалым числом людей, едва смог их закрыть. И это знамение сочли за благое: думали, что Бог отворит им двери благие. Но книжники поняли, что крепость храма разрушится сама собой и без труда откроется перед врагами, и опустеет святилище. А спустя немного дней после праздника, в 21-й день месяца артемисия, то есть мая, явилось какое-то невероятное демонское видение. Услышавший об этом решил бы, что это басни и чародейство, если бы не видели и не рассказали многие, и страшные несчастья последовали под стать видению. Так вот, перед заходом солнца по воздуху и по небу явились по всей иудейской земле колесницы и полки с оружием, скачущие сквозь облака и окружающие города. В праздник же, называемый пятидесятница, священники, войдя, как обычно, ночью во внутренний храм на службу, сначала почувствовали сотрясение и гром, а потом внезапно услышали голос, который сказал: «Уйдем отсюда!» А вот что было страшнее всего остального.
Исусъ нѣкто Анановъ сынъ, от простыхъ, не книжникъ, прежде четырь лѣтъ рати, граду еще мирну сущю и изообилну, пришедъ на праздникъ, егда вси празднують скинопигью по обычаю, въ цръкви стоя, начя внезаапу въпити: «Глас от въстока, глас от запада, глас от 4 ветръ, глас на Иерусалимъ и на цръковь, глас на женихы и на невѣсты, глас на всѣхъ людѣй». Се глаголя, по вся дни и нощи въпияше, обходя по стъгнамъ. Некоторыи же от нарочитыхъ разгнѣвашася на нь, злорѣчия его ради, и емше многыми ранами мучиша и. Сей же ни ранъ мняше, ни о собѣ моляшеся, ни къ мучящему и отвѣщеваше, но токмо въпияше, яже прежде. Власти же иерусалимьстии, мняще сего вышнею силою нѣкоею подвизаема на вопль той, и приведоша и къ римскому властелю, идеже биемъ прутиемъ и манъглавиемъ даже и до костий, ни поболѣ, ни прослези, но блъма чресъ силу кликаше гласомъ жалостнымъ тѣмъ: «Люте, люте Иерусалиму!» Алвину же прошащю его, — той бо бѣ властелинъ тогда от Рима, — «Кто еси? Откуда? И въскую таковаа въпиеши?», сей же не отвѣща ничтоже противу рѣчемъ его и не преста плета рыдание градное, дондеже Алвинъ безумна творя отпусти и. Се же оттолѣ не прииде ни к комуже, ни явися, дондеже прииде рать. И потомъ по вся дни акы молитвѣ изучься, рыдаа въпияше: «Лютѣ, лютѣ Иерусалиму!», а ни къ биющимъ его отвѣщаваше, ни лающимъ его кленяше, ни подавающихъ ему пищю благословяше. Единъ же отвѣтъ се дряхлъ бысть къ всѣмъ по 7 лѣтъ и по 5 мѣсяць, и ни глас его измлъче, ни утрудися, дондеже видѣ дѣла ратнаа, яже проповѣдаше, и потомъ почи смрътию. Ходя по забраломъ, пакы въпияше: «Увы, увы граду и людемъ и цръкви!», наконець же приложи: «Увы, увы мнѣ!» И абие камень прилѣтевъ от порочя удари и и уби и, и испусти душю, и еще глаголющю проповѣдание се.	Об Исусе, сыне Анана, о шести голосах
И аще кто добрѣ разумѣеть, то обрящеть Бога промышляюща за человѣка и всѣмъ нравомъ проявляюща роду нашему яже на спасение; мы же несмыслиемъ и злодѣйствомъ самоволнымъ погибаемъ. Богъ знамения гнѣвнаа показаа, да быша разумѣли людие Божий гнѣвъ, и престануть от своея злобы, и тѣмъ умолять Бога. Сущю же въ иудѣихъ пророчьству, яко четвероуглънымъ образом опустѣеть градъ и цръкви, то сами начяша кресты дѣлати на распятие, еже есть, якоже рекохомъ четверообразныи. И по разорении Антония цръковь четвероугльную сътвориша. На рать же подвиже я проповѣдания дворазумнаа въ святыхъ книгахъ обрѣтаемая, глаголюще, яко в та времена нѣкто от иудѣйскыя земля будеть цѣсарствуя над всею вселенною. Имже разноличнаа сказания суть: ови бо мнѣша Ирода, ови же распятаго чюдотворца Исуса,[61] ови же Уесписиана. Но обаче невъзможно человѣком суда убѣжати, аще и промыслять. Иудѣи же знамения судиша, якоже хотѣша, вратяще я на свою сладость, другаа же похулиша, дондеже погубивше себе и отечьство, обличишася и постыдѣшася и явишася безумни.	Некто Исус, сын Анана, из простых, не книжник, за четыре года до войны, когда в городе еще был мир и изобилие, придя на праздник, во время которого все по обычаю отмечают установление кущ, стоя в храме, начал внезапно вопить: «Голос с востока, голос с запада, голос с четырех ветров, голос на Иерусалим и на храм, голос на женихов и невест, голос на весь народ». Он повторял это, вопия все дни и ночи, обходя по стогнам. И некоторые из знатных <горожан> разгневались на него за его дурные речи и, схватив, много и сильно били. А он, не ставя побои ни во что, не просил о себе и не отвечал своему мучителю, но только вопиял то же, что и прежде. Власти же иерусалимские, думая, что некая высшая сила подвигает его на этот вопль, привели его к римскому наместнику, где его били прутьями и бичами до костей, а он, не ведая ни боли, ни слез, еще больше, через силу, кричал тем же скорбным голосом: «Горе, горе Иерусалиму!» И когда Альбин — он был тогда римским наместником — спрашивал его: «Кто ты? Откуда? И почему так кричишь?», — он не отвечал ничего на его речи и не переставал сплетать плач по городу, пока Альбин не отпустил его, сочтя безумным. А он после этого ни к кому не пришел и не объявился, пока не началась война. И потом все дни, как будто выучив молитву, вопил, рыдая: «Горе, горе Иерусалиму!», не отвечая бьющим его, не кляня поносивших его, не благословляя подававших ему пищу. И один только этот печальный ответ был ко всем 7 лет и 5 месяцев, и голос его не умолк, и он не знал усталости, пока не увидел войну, которую предсказывал, и после этого почил смертью. Ходя по забралам, он снова кричал: «Увы, увы городу, и людям, и храму!», и под конец добавил: «Увы, увы мне!» И тут же камень, прилетевший из порока, поразил его насмерть, и он испустил дух, еще произнося свое предсказание.
